w/s,aceph01,aceph02,aceph03,aceph04
176,343.5,393.9,293.7,363.0
177,339.8,387.0,346.4,311.4
178,321.5,402.6,319.1,351.5
179,326.2,372.2,359.8,351.1
180,322.1,366.7,345.7,335.5
181,314.9,361.5,365.8,379.7
182,290.5,333.4,344.3,368.9
183,320.7,325.2,334.0,368.9
184,321.8,258.9,306.2,302.4
185,332.4,331.5,364.5,367.3
186,318.0,309.0,358.5,364.0
187,376.1,344.7,360.7,328.2
188,355.8,305.5,362.4,366.0
189,368.1,343.8,366.3,334.3
190,373.8,306.6,360.3,383.7
191,370.8,311.6,347.2,317.2
192,348.1,363.0,345.4,370.0
193,340.7,348.7,371.6,320.2
194,361.5,310.2,362.5,336.4
195,391.1,323.5,358.8,355.2
196,354.3,329.8,359.6,292.8
197,379.1,282.3,348.8,347.7
198,344.4,379.0,341.2,344.1
199,383.0,347.7,326.7,352.4
200,357.6,339.4,347.4,323.2
201,383.6,258.6,324.2,316.3
202,365.6,373.2,317.228,348.5
203,331.6,299.7,337.2,320.1
204,372.2,394.9,323.4,342.5
205,335.348,375.1,343.4,317.9
206,360.8,353.1,302.0,346.2
207,312.8,356.4,337.1,319.5
208,332.2,363.7,348.8,318.5
209,323.7,391.684,416.2,395.7
210,341.7,378.9,396.2,357.4
211,322.2,366.2,390.7,342.5
212,297.1,358.5,394.1,370.6
213,352.7,350.9,392.9,370.7
214,363.3,349.4,362.6,331.5
215,361.3,352.2,397.2,360.4
216,350.8,353.7,382.9,365.0
217,337.4,340.1,383.4,374.9
218,361.4,363.9,368.1,347.5
219,297.2,351.7,383.7,312.9
220,350.3,342.7,345.4,335.0
221,361.6,357.8,391.3,386.7
222,362.2,315.5,363.0,353.9
223,351.9,399.1,339.2,352.0
224,329.7,347.8,349.9,343.8
225,353.4,348.8,348.6,377.5
226,293.3,339.7,359.4,374.4
227,335.6,328.0,391.0,377.7
228,329.4,360.2,350.4,358.9
229,358.3,331.4,361.7,313.3
230,324.0,341.9,352.2,360.4
231,323.6,327.5,308.0,349.0
232,341.3,360.1,340.0,391.0
233,346.9,334.7,331.3,325.2
234,342.0,386.9,369.1,333.9
235,351.8,414.6,369.0,297.4
236,335.8,363.2,344.7,313.6
237,350.9,359.2,349.8,352.0
238,290.8,353.0,335.1,304.2
239,369.0,353.6,367.4,378.6
240,354.4,369.1,364.4,360.7
241,351.6,343.5,351.0,354.0
242,344.654,335.2,343.4,351.3
243,309.3,357.8,340.8,307.2
244,405.0,331.6,340.5,343.2
245,370.1,358.3,356.4,329.9
246,401.0,332.3,370.3,375.7
247,366.9,369.4,375.1,373.2
248,378.1,354.8,361.0,350.6
249,363.1,356.6,365.4,348.9
250,392.3,332.2,328.9,336.9
251,380.0,315.8,346.14,309.7
252,375.1,351.3,348.1,399.5
253,316.4,329.8,320.6,360.9
254,369.4,383.0,323.8,354.9
255,354.2,348.5,324.7,359.1
256,340.5,341.3,326.1,366.3
257,345.0,367.8,351.8,353.8
258,351.5,374.7,312.1,383.8
259,331.5,304.4,308.9,299.1
260,348.9,340.1,327.5,367.0
261,338.2,317.0,295.0,388.2
262,343.1,324.8,292.8,332.4
263,369.902,327.2,375.5,378.7
264,318.2,396.4,356.3,387.6
265,355.3,363.6,359.3,381.9
266,354.3,360.5,345.7,430.2
267,314.7,335.3,345.8,384.2
268,335.8,332.4,288.5,400.6
269,343.7,323.1,440.8,343.7
270,401.7,335.3,402.3,359.7
271,370.4,325.5,357.5,308.0
272,352.3,317.1,395.6,349.7
273,336.4,324.7,351.2,325.1
274,355.1,291.1,347.6,314.2
275,377.7,374.0,350.8,298.0
276,394.6,349.0,349.7,349.7
277,376.3,380.6,396.6,342.2
278,384.1,350.398,370.8,355.2
279,367.5,361.3,350.3,364.0
280,375.9,348.9,365.4,337.7
281,353.8,321.9,349.7,362.0
282,333.1,344.1,377.5,340.2
283,360.1,373.5,341.6,377.0
284,339.3,346.0,334.9,330.4
285,337.4,351.2,326.4,355.2
286,327.2,364.4,320.4,300.4
287,312.7,345.5,293.5,336.1
288,308.6,348.3,330.4,330.5
289,337.624,327.6,312.5,340.6
290,326.1,317.8,294.3,315.5
291,341.6,306.0,299.3,334.8
292,383.2,294.6,320.0,322.5
293,368.1,319.4,326.8,348.5
294,361.6,372.4,388.7,363.7
295,303.3,417.3,338.4,334.7
296,361.4,429.9,345.1,350.2
297,354.5,428.6,337.1,359.0
298,363.3,413.3,337.6,327.5
299,310.1,394.4,403.5,392.3
300,392.1,366.1,433.8,345.4
301,387.1,340.3,400.4,312.3
302,381.7,345.7,385.4,352.2
303,372.5,383.2,338.1,355.6
304,337.9,328.4,336.0,343.3
305,329.6,378.7,350.6,328.1
306,351.1,354.4,355.7,357.1
307,367.8,374.6,369.6,346.0
308,368.2,348.9,363.5,340.6
309,326.8,378.7,386.9,334.0
310,349.0,368.3,353.1,314.3
311,334.4,361.3,327.2,317.1
312,352.6,410.1,271.7,267.032
313,320.0,354.2,315.3,320.8
314,338.4,356.5,331.3,291.5
315,318.1,334.4,315.8,335.1
316,319.8,325.0,328.3,348.1
317,253.1,316.3,280.4,361.4
318,355.7,339.3,335.2,289.3
319,323.8,312.0,310.4,317.5
320,318.6,323.8,292.5,288.1
321,279.5,297.0,290.9,300.4
322,346.2,326.4,295.546,320.1
323,320.4,323.4,284.8,295.2
324,314.9,298.8,301.1,331.3
325,341.9,387.7,302.6,321.8
326,321.3,395.2,359.4,310.3
327,364.4,323.0,344.2,321.7
328,348.0,394.8,346.4,331.9
329,317.8,355.0,431.4,364.9
330,336.0,363.7,409.9,373.9
331,380.1,353.6,458.3,358.1
332,357.3,339.6,387.9,373.6
333,373.8,361.7,376.8,380.5
334,368.5,327.6,386.8,416.4
335,353.5,341.3,326.4,375.4
336,366.7,335.0,392.6,367.7
337,328.5,382.4,364.0,380.2
338,376.9,353.5,382.3,363.7
339,325.6,352.5,384.4,357.9
340,336.7,334.0,363.4,354.7
341,327.4,331.2,343.6,361.8
342,332.9,347.5,334.9,338.3
343,309.5,364.1,344.6,349.4
344,316.5,327.9,335.2,347.7
345,318.0,355.7,344.9,331.9
346,317.6,327.1,323.4,307.2
347,310.9,316.0,323.3,300.5
348,341.5,271.3,305.9,325.3
349,358.6,327.5,310.8,310.5
350,384.3,331.981,313.2,309.6
351,354.7,299.2,287.4,312.2
352,385.3,320.8,311.5,327.8
353,394.6,362.5,273.6,333.3
354,361.8,307.9,320.0,317.3
355,372.1,376.7,317.8,333.0
356,356.2,358.2,326.4,336.9
357,355.8,374.5,319.6,348.9
358,382.5,347.9,314.6,337.5
359,296.9,367.7,369.1,339.1
360,382.079,434.4,338.7,355.9
361,298.5,422.9,402.0,349.7
362,367.7,408.0,395.9,364.6
363,332.2,381.5,400.3,380.3
364,351.1,360.6,373.6,422.0
365,354.5,306.5,377.2,374.0
366,389.9,312.4,424.5,398.5
367,417.6,302.5,375.8,398.2
368,405.2,344.7,411.4,430.6
369,363.1,346.9,409.1,384.2
370,370.1,278.8,316.4,362.3
371,423.0,321.2,384.7,430.9
372,377.0,268.6,367.2,382.1
373,338.0,294.6,378.8,389.6
374,387.1,314.5,342.3,381.8
375,375.0,299.3,347.0,372.4
376,362.7,319.1,334.0,308.0
377,363.9,304.6,343.5,351.0
378,377.6,348.9,302.1,339.9
379,370.4,370.3,306.4,334.1
380,350.4,368.8,301.1,319.5
381,364.6,354.1,315.8,290.1
382,300.7,339.4,297.8,365.0
383,365.0,361.1,311.2,337.3
384,352.4,370.7,265.9,320.1
385,378.0,313.9,338.7,348.1
386,362.1,336.1,340.2,342.5
387,327.3,356.4,320.7,400.6
388,348.8,366.8,326.6,380.5
389,336.3,356.4,378.0,345.1
390,350.8,360.9,316.0,401.5
391,320.5,391.2,323.1,370.8
392,280.5,373.3,355.6,396.4
393,347.7,349.8,366.0,381.3
394,329.3,357.822,339.7,346.3
395,307.3,373.5,362.2,362.5
396,340.8,271.8,374.8,331.3
397,370.0,351.8,364.5,323.3
398,364.8,346.0,395.5,364.9
399,362.7,325.8,386.0,381.9
