kbmemfree,aceph01,aceph02,aceph03,aceph04
122,12323772.0,12460924.0,12402344.0,12461044.0
123,12293916.0,12424280.0,12323588.0,12482176.0
124,12298384.0,12395536.0,12359496.0,12486420.0
125,12247496.0,12428888.0,12326588.0,12439776.0
126,12235880.0,12408044.0,12309124.0,12452568.0
127,12261548.0,12358104.0,12321988.0,12392560.0
128,12216384.0,12373932.0,12269792.0,12434444.0
129,12220628.0,12329200.0,12283700.0,12420296.0
130,12213128.0,12316920.0,12296252.0,12376248.0
131,12149144.0,12340272.0,12237092.0,12401452.0
132,12178160.0,12319644.0,12252344.0,12342404.0
133,12148716.0,12277520.0,12254224.0,12338712.0
134,12115724.0,12288288.0,12187520.0,12350632.0
135,12133484.0,12282668.0,12233268.0,12297292.0
136,12078440.0,12222960.0,12229056.0,12310452.0
137,12083312.0,12252284.0,12197704.0,12307688.0
138,12086068.0,12166488.0,12198828.0,12244056.0
139,12041932.0,12171408.0,12166876.0,12286980.0
140,12041864.0,12162736.0,12141780.0,12229612.0
141,11999320.0,12125980.0,12164804.0,12245516.0
142,12005520.0,12124476.0,12143876.0,12220492.0
143,12001152.0,12112768.0,12102252.0,12178064.0
144,11963524.0,12083960.0,12099592.0,12183752.0
145,11967416.0,12093296.0,12094644.0,12145656.0
146,11899632.0,12046776.0,12031488.0,12146148.0
147,11944952.0,12068360.0,12041756.0,12162068.0
148,11944556.0,12066476.0,12047504.0,12088816.0
149,11888048.0,12032032.0,11988372.0,12105940.0
150,11910524.0,12047444.0,11999772.0,12062428.0
151,11844420.0,12035304.0,11997108.0,12054324.0
152,11847668.0,11977848.0,11954916.0,12072600.0
153,11869052.0,11986864.0,11948520.0,12074680.0
154,11855724.0,11981460.0,11916912.0,12066736.0
155,11795908.0,11956560.0,11868000.0,12075656.0
156,11812136.0,11931484.0,11937860.0,12033324.0
157,11772512.0,11967696.0,11934340.0,12011344.0
158,11757868.0,11910180.0,11875656.0,12022356.0
159,11775068.0,11927740.0,11905244.0,11973572.0
160,11714888.0,11925300.0,11901216.0,11979876.0
161,11738104.0,11888252.0,11834960.0,11978408.0
162,11746876.0,11885708.0,11874588.0,11939476.0
163,11712644.0,11865520.0,11844456.0,11947476.0
164,11702192.0,11835272.0,11809520.0,11915048.0
165,11703760.0,11854544.0,11847860.0,11905944.0
166,11660176.0,11844680.0,11793760.0,11917828.0
167,11658592.0,11781364.0,11778552.0,11889296.0
168,11656484.0,11811844.0,11797296.0,11845484.0
169,11592268.0,11755704.0,11766896.0,11871316.0
170,11608320.0,11759744.0,11723396.0,11832036.0
171,11595260.0,11778816.0,11738264.0,11803012.0
172,11520500.0,11745080.0,11665356.0,11827188.0
173,11542512.0,11697028.0,11669328.0,11811384.0
174,11470668.0,11734440.0,11684800.0,11763868.0
175,11545968.0,11674948.0,11615128.0,11791756.0
176,11553500.0,11675536.0,11656876.0,11750336.0
177,11479160.0,11687292.0,11646152.0,11738832.0
178,11515468.0,11645552.0,11595224.0,11758704.0
179,11514716.0,11650408.0,11636760.0,11709480.0
180,11480680.0,11649448.0,11616652.0,11716832.0
181,11505356.0,11595464.0,11571768.0,11717796.0
182,11436160.0,11608048.0,11576580.0,11671648.0
183,11451972.0,11564080.0,11539672.0,11682400.0
184,11451720.0,11531148.0,11519592.0,11662636.0
185,11403984.0,11561524.0,11558516.0,11624148.0
186,11416060.0,11517040.0,11511384.0,11641728.0
187,11404912.0,11520280.0,11476276.0,11620132.0
188,11342324.0,11464792.0,11491028.0,11604528.0
189,11356680.0,11472236.0,11461692.0,11604392.0
190,11333520.0,11482912.0,11452396.0,11534924.0
191,11290564.0,11468268.0,11465924.0,11579348.0
192,11278592.0,11454936.0,11441060.0,11558656.0
193,11280932.0,11482360.0,11385668.0,11532144.0
194,11253796.0,11458688.0,11384996.0,11539332.0
195,11278592.0,11391552.0,11392860.0,11494948.0
196,11219512.0,11413648.0,11373072.0,11481384.0
197,11193120.0,11408448.0,11335828.0,11493180.0
198,11239644.0,11369448.0,11354560.0,11444712.0
199,11203868.0,11386528.0,11339876.0,11466008.0
200,11164452.0,11337992.0,11271804.0,11426756.0
201,11155752.0,11305796.0,11296084.0,11426796.0
202,11094976.0,11351024.0,11304728.0,11407508.0
203,11158104.0,11309936.0,11267600.0,11384404.0
204,11133156.0,11282056.0,11254804.0,11401512.0
205,11100600.0,11299396.0,11267796.0,11360196.0
206,11116020.0,11273884.0,11222604.0,11367980.0
207,11066348.0,11244172.0,11200216.0,11376156.0
208,11099284.0,11253372.0,11209724.0,11322856.0
209,11068792.0,11245680.0,11172416.0,11314576.0
210,11045756.0,11199216.0,11165320.0,11320392.0
211,11035904.0,11211364.0,11180524.0,11283404.0
212,11022612.0,11175332.0,11134872.0,11307332.0
213,11008436.0,11156824.0,11143000.0,11268976.0
214,11021008.0,11177220.0,11128416.0,11243636.0
215,10973032.0,11166912.0,11094852.0,11262744.0
216,10990748.0,11135844.0,11091928.0,11190040.0
217,10933104.0,11144200.0,11034196.0,11211824.0
218,10902712.0,11106236.0,11029580.0,11215368.0
219,10923148.0,11085692.0,11070188.0,11186564.0
220,10883408.0,11096668.0,11015016.0,11187220.0
221,10870148.0,11045708.0,11010260.0,11186588.0
222,10868264.0,11039796.0,11039192.0,11149968.0
223,10781780.0,11054536.0,10987216.0,11156388.0
224,10794772.0,11007580.0,10971420.0,11134144.0
225,10801604.0,11013136.0,10969084.0,11107552.0
226,10740532.0,10996476.0,10921656.0,11133508.0
227,10759528.0,10936896.0,10968704.0,11100416.0
228,10765520.0,10992584.0,10964640.0,11066396.0
229,10740484.0,10972420.0,10928472.0,11072124.0
230,10743700.0,10922676.0,10938248.0,11018240.0
231,10697700.0,10945376.0,10926800.0,11014524.0
232,10700432.0,10925540.0,10864868.0,11019372.0
233,10705144.0,10868700.0,10877628.0,10963480.0
234,10682108.0,10887164.0,10882828.0,10984928.0
235,10684612.0,10872168.0,10851404.0,10975160.0
236,10642604.0,10833928.0,10850916.0,10949508.0
237,10602756.0,10852832.0,10856380.0,10978660.0
238,10640912.0,10834560.0,10806940.0,10910356.0
239,10596060.0,10785580.0,10801236.0,10934304.0
240,10596240.0,10783548.0,10805148.0,10925656.0
241,10590932.0,10750748.0,10738512.0,10870492.0
242,10489932.0,10680580.0,10755964.0,10918428.0
243,10631832.0,10733088.0,10770320.0,10864408.0
244,10581136.0,10722760.0,10749908.0,10845356.0
245,10577328.0,10666332.0,10714740.0,10868112.0
246,10604600.0,10705760.0,10732612.0,10852568.0
247,10533364.0,10685740.0,10694084.0,10839288.0
248,10531836.0,10624148.0,10667276.0,10854728.0
249,10519592.0,10690108.0,10665356.0,10798724.0
250,10470496.0,10672068.0,10645544.0,10801852.0
251,10492300.0,10650276.0,10627876.0,10801392.0
252,10465548.0,10661008.0,10647224.0,10746776.0
253,10433256.0,10599536.0,10611552.0,10767620.0
254,10464688.0,10588408.0,10582616.0,10738348.0
255,10416752.0,10587420.0,10591728.0,10701912.0
256,10431448.0,10527988.0,10545760.0,10723976.0
257,10387232.0,10552444.0,10538720.0,10667744.0
258,10388768.0,10568376.0,10543544.0,10696628.0
259,10406872.0,10554132.0,10519416.0,10666580.0
260,10377344.0,10506268.0,10524744.0,10646216.0
261,10327992.0,10532556.0,10521216.0,10654044.0
262,10353372.0,10532612.0,10467268.0,10639692.0
263,10299440.0,10490692.0,10477680.0,10609980.0
264,10310880.0,10490948.0,10415340.0,10616476.0
265,10309244.0,10421408.0,10446344.0,10569988.0
266,10260520.0,10431620.0,10444744.0,10564784.0
267,10279748.0,10443608.0,10371924.0,10592884.0
268,10244760.0,10389284.0,10413476.0,10542584.0
269,10203184.0,10402172.0,10428100.0,10554032.0
270,10222964.0,10407724.0,10379976.0,10537280.0
271,10175548.0,10354644.0,10402584.0,10490516.0
272,10186752.0,10348216.0,10402324.0,10512732.0
273,10207236.0,10361440.0,10362548.0,10489244.0
274,10198948.0,10307724.0,10369476.0,10437360.0
275,10144368.0,10327768.0,10350732.0,10455432.0
276,10164384.0,10295756.0,10325428.0,10421540.0
277,10146656.0,10270820.0,10331732.0,10433108.0
278,10115280.0,10287456.0,10275872.0,10438748.0
279,10129488.0,10242792.0,10284548.0,10398796.0
280,10080312.0,10232252.0,10292400.0,10416292.0
281,10085912.0,10248144.0,10238816.0,10364480.0
282,10036080.0,10189656.0,10248520.0,10353696.0
283,10018860.0,10212044.0,10253152.0,10353644.0
284,10012852.0,10209096.0,10196132.0,10320588.0
285,9973592.0,10154280.0,10243088.0,10352184.0
