kbmemused,client01,client02,client03,client04
0,19468396.0,17542464.0,28998264.0,19568412.0
1,19451100.0,17629520.0,29005052.0,19568576.0
2,19440228.0,17639148.0,29008892.0,19568368.0
3,19437692.0,17643744.0,29006904.0,19560692.0
4,19435888.0,17661204.0,29003736.0,19560944.0
5,19432416.0,17661104.0,29004020.0,19561124.0
6,19451416.0,17662696.0,29004768.0,19561264.0
7,19481532.0,17682560.0,29004676.0,19561448.0
8,19474324.0,17681004.0,29001884.0,19560984.0
9,19470472.0,17686240.0,28999580.0,19560204.0
10,19444624.0,17687492.0,28998708.0,19560468.0
11,19445660.0,17689140.0,28999356.0,19559336.0
12,19443988.0,17690848.0,28999760.0,19559044.0
13,19441020.0,17690948.0,29000288.0,19559324.0
14,19438888.0,17707064.0,29000024.0,19558844.0
15,19472560.0,17707080.0,28999640.0,19558488.0
16,19440216.0,17706240.0,28999552.0,19570848.0
17,19432188.0,17701568.0,29000064.0,19570768.0
18,19430304.0,17700024.0,28999928.0,19570928.0
19,19427756.0,17697416.0,28998700.0,19570452.0
20,19421432.0,17696012.0,28998004.0,19570120.0
21,19438712.0,17693780.0,28998708.0,19570328.0
22,19459868.0,17692784.0,28999296.0,19570300.0
23,19424008.0,17691000.0,28998692.0,19570664.0
24,19419000.0,17706716.0,29001012.0,19570428.0
25,19417616.0,17706584.0,29001024.0,19570192.0
26,19413796.0,17703852.0,29004304.0,19586220.0
27,19411116.0,17702896.0,29011480.0,19586220.0
28,19445488.0,17701560.0,29020164.0,19596412.0
29,19429912.0,17703964.0,29021028.0,19597692.0
30,19411472.0,17705216.0,29023320.0,19602652.0
31,19410052.0,17704508.0,29026260.0,19602536.0
32,19407436.0,17704152.0,29028944.0,19602252.0
33,19403836.0,17703692.0,29028928.0,19602312.0
34,19402912.0,17718892.0,29029096.0,19602408.0
35,19443564.0,17717584.0,29029340.0,19603644.0
36,19410208.0,17717416.0,29029868.0,19619788.0
37,19406548.0,17716652.0,29030300.0,19620152.0
38,19405796.0,17714760.0,29027440.0,19617828.0
39,19403232.0,17713852.0,29021260.0,19618452.0
40,19399452.0,17713864.0,29020956.0,19618636.0
41,19422644.0,17713128.0,29020852.0,19618484.0
42,19441500.0,17711636.0,29019956.0,19618108.0
43,19399168.0,17711624.0,29019904.0,19616424.0
44,19396112.0,17726904.0,29020624.0,19615980.0
45,19394788.0,17725100.0,29020136.0,19616228.0
46,19391688.0,17726312.0,29020272.0,19632420.0
47,19388452.0,17725892.0,29019640.0,19632460.0
48,19417436.0,17725352.0,29019460.0,19630296.0
49,19400352.0,17722136.0,29017972.0,19630636.0
50,19385568.0,17719500.0,29015332.0,19630356.0
51,19383864.0,17719196.0,29015764.0,19630032.0
52,19381164.0,17718460.0,29013552.0,19630140.0
53,19377504.0,17717156.0,29011044.0,19628224.0
54,19372644.0,17720096.0,29009636.0,19628040.0
55,19415544.0,17718816.0,29009620.0,19627640.0
56,19380420.0,17718588.0,29009708.0,19640860.0
57,19374632.0,17717864.0,29009620.0,19641140.0
58,19372428.0,17717196.0,29009780.0,19641184.0
59,19367844.0,17715904.0,29009788.0,19641284.0
60,19364996.0,17715396.0,29009920.0,19641276.0
61,19388724.0,17713836.0,29010576.0,19641348.0
62,19401516.0,17713232.0,29009964.0,19641592.0
63,19360332.0,17714292.0,29010544.0,19641152.0
64,19359904.0,17713816.0,29010024.0,19641320.0
65,19359544.0,17715380.0,29009728.0,19643384.0
66,19357372.0,17715368.0,29010136.0,19659952.0
67,19355292.0,17715240.0,29009976.0,19659608.0
68,19391968.0,17715520.0,29010412.0,19659052.0
69,19363268.0,17715452.0,29010440.0,19658720.0
70,19357048.0,17716460.0,29010032.0,19657588.0
71,19355848.0,17716328.0,29010816.0,19655656.0
72,19352652.0,17716664.0,29010812.0,19654376.0
73,19350352.0,17717068.0,29010840.0,19650620.0
74,19349332.0,17717368.0,29011040.0,19649472.0
75,19383360.0,17717956.0,29010628.0,19646588.0
76,19349016.0,17718916.0,29010376.0,19660680.0
77,19346688.0,17718808.0,29010336.0,19659264.0
78,19346920.0,17718624.0,29010652.0,19657208.0
79,19345276.0,17718652.0,29009488.0,19655856.0
80,19342932.0,17719000.0,29009700.0,19653076.0
81,19363752.0,17719192.0,29010416.0,19651612.0
82,19377228.0,17720692.0,29010548.0,19649284.0
83,19341696.0,17721124.0,29010600.0,19647872.0
84,19339448.0,17721488.0,29011004.0,19645448.0
85,19337204.0,17722096.0,29010788.0,19644192.0
86,19334036.0,17722408.0,29011400.0,19658616.0
87,19331860.0,17722832.0,29011312.0,19656404.0
88,19369836.0,17722480.0,29011216.0,19654968.0
89,19338700.0,17722968.0,29011944.0,19652488.0
90,19332548.0,17722952.0,29012888.0,19650788.0
91,19331752.0,17723568.0,29013008.0,19648024.0
92,19330328.0,17723508.0,29012844.0,19646600.0
93,19326392.0,17723704.0,29012532.0,19644316.0
94,19345824.0,17723456.0,29012932.0,19641660.0
95,19366044.0,17723180.0,29013352.0,19639460.0
96,19326504.0,17724440.0,29013432.0,19645968.0
97,19323688.0,17724440.0,29014288.0,19645204.0
98,19321280.0,17725116.0,29014336.0,19642900.0
99,19318292.0,17726592.0,29013800.0,19641376.0
100,19316756.0,17727076.0,29014292.0,19639636.0
101,19346480.0,17726568.0,29014176.0,19638192.0
102,19344468.0,17728668.0,29014160.0,19636388.0
103,19319304.0,17729064.0,29014276.0,19634952.0
104,19318840.0,17729332.0,29014444.0,19634632.0
105,19316956.0,17731020.0,29015236.0,19632264.0
106,19314500.0,17729896.0,29015160.0,19631332.0
107,19313316.0,17729840.0,29014916.0,19629816.0
108,19353088.0,17730592.0,29015128.0,19629448.0
109,19316252.0,17731024.0,29015276.0,19626852.0
110,19309280.0,17730628.0,29015492.0,19625096.0
111,19308284.0,17731076.0,29015808.0,19623332.0
112,19306208.0,17731008.0,29017632.0,19621056.0
113,19302404.0,17730260.0,29017408.0,19618256.0
114,19324300.0,17731148.0,29017348.0,19616212.0
115,19343984.0,17731056.0,29017488.0,19614884.0
116,19307388.0,17732476.0,29018216.0,19614640.0
117,19303728.0,17731948.0,29017812.0,19612752.0
118,19303036.0,17732188.0,29018336.0,19610244.0
119,19301456.0,17732168.0,29017784.0,19607552.0
120,19300216.0,17732768.0,29018520.0,19605336.0
121,19340480.0,17733200.0,29017900.0,19604108.0
122,19324032.0,17733928.0,29018436.0,19601352.0
123,19306228.0,17735000.0,29018384.0,19600064.0
124,19306460.0,17733896.0,29018312.0,19597864.0
125,19306028.0,17734676.0,29017964.0,19597192.0
126,19305140.0,17735904.0,29018300.0,19596760.0
127,19304540.0,17736532.0,29018032.0,19595372.0
128,19348436.0,17736652.0,29017516.0,19594876.0
129,19315280.0,17737008.0,29017404.0,19592644.0
130,19310044.0,17737296.0,29017808.0,19590440.0
131,19310176.0,17736628.0,29018016.0,19588712.0
132,19308524.0,17736376.0,29019008.0,19586920.0
133,19307852.0,17737732.0,29019836.0,19585796.0
134,19324552.0,17736840.0,29020080.0,19584272.0
135,19346024.0,17737184.0,29020332.0,19583620.0
136,19311032.0,17739400.0,29020924.0,19582804.0
137,19311852.0,17739040.0,29020452.0,19580412.0
138,19311716.0,17738876.0,29020236.0,19580692.0
139,19309684.0,17738612.0,29020316.0,19579972.0
140,19309636.0,17738600.0,29020632.0,19577968.0
141,19346276.0,17738432.0,29020620.0,19576328.0
142,19325496.0,17737424.0,29021228.0,19574760.0
143,19313992.0,17737016.0,29022136.0,19571884.0
144,19314252.0,17736536.0,29021872.0,19571136.0
145,19313604.0,17734928.0,29022312.0,19570976.0
146,19311432.0,17735480.0,29022452.0,19569932.0
147,19310936.0,17734440.0,29022356.0,19567892.0
