kbdirty,aceph01,aceph02,aceph03,aceph04
0,35964.0,47944.0,40976.0,52540.0
1,38944.0,56616.0,55020.0,60680.0
2,46836.0,60508.0,66852.0,71216.0
3,59936.0,68984.0,72312.0,83764.0
4,71284.0,69840.0,74660.0,90692.0
5,83604.0,79736.0,85980.0,90424.0
6,98204.0,82320.0,90576.0,100496.0
7,105832.0,82200.0,92972.0,102844.0
8,120292.0,93528.0,94072.0,113040.0
9,121476.0,97744.0,101972.0,110168.0
10,129000.0,102908.0,110292.0,104240.0
11,134520.0,104256.0,111380.0,103908.0
12,130140.0,110400.0,122088.0,110744.0
13,139616.0,121060.0,124848.0,119504.0
14,131688.0,121040.0,126272.0,122340.0
15,131344.0,127332.0,118532.0,118428.0
16,124740.0,136004.0,130388.0,121588.0
17,128524.0,135812.0,133072.0,135312.0
18,137284.0,151328.0,135620.0,149432.0
19,146032.0,158392.0,139208.0,142428.0
20,155860.0,164364.0,140192.0,153628.0
21,142432.0,171480.0,146372.0,152796.0
22,139484.0,182808.0,146912.0,166284.0
23,147696.0,178656.0,157140.0,170156.0
24,156572.0,182804.0,161944.0,182428.0
25,165360.0,184636.0,167800.0,186916.0
26,161368.0,193456.0,161284.0,197092.0
27,162568.0,193888.0,166000.0,183032.0
28,162328.0,193588.0,159956.0,187792.0
29,158056.0,186056.0,170564.0,193028.0
30,167720.0,192096.0,174280.0,186436.0
31,178872.0,189876.0,183260.0,185064.0
32,176652.0,197140.0,188640.0,193820.0
33,169112.0,204676.0,192428.0,184316.0
34,181156.0,189708.0,199232.0,188120.0
35,181424.0,189712.0,210328.0,193092.0
36,190500.0,198120.0,205024.0,203544.0
37,194484.0,195876.0,202220.0,205624.0
38,189888.0,199024.0,204912.0,199680.0
39,194060.0,205964.0,207956.0,200632.0
40,198704.0,208756.0,209256.0,199676.0
41,208800.0,203444.0,210048.0,208080.0
42,219276.0,205624.0,219916.0,219260.0
43,223968.0,214624.0,228364.0,222804.0
44,221848.0,221376.0,229208.0,228916.0
45,235488.0,214640.0,236148.0,229932.0
46,231368.0,208084.0,235756.0,230728.0
47,241752.0,215576.0,229480.0,235372.0
48,252004.0,223540.0,224200.0,237316.0
49,251132.0,216696.0,221788.0,227856.0
50,247492.0,225640.0,232712.0,236216.0
51,253488.0,235344.0,234096.0,222696.0
52,250240.0,244992.0,228744.0,232412.0
53,262524.0,234860.0,239772.0,241608.0
54,259188.0,239588.0,242096.0,239224.0
55,258668.0,249200.0,252696.0,250320.0
56,258656.0,256276.0,264048.0,254468.0
57,267548.0,251700.0,269184.0,256692.0
58,261788.0,264460.0,270748.0,266588.0
59,269412.0,275012.0,277840.0,261892.0
60,270892.0,269140.0,282760.0,265776.0
61,264336.0,279408.0,282400.0,262480.0
62,264856.0,288828.0,288480.0,267524.0
63,272360.0,300184.0,294732.0,272096.0
64,268804.0,299700.0,290424.0,284644.0
65,269476.0,311040.0,292444.0,296668.0
66,277132.0,312716.0,299900.0,297712.0
67,272028.0,313000.0,304448.0,307884.0
68,280164.0,312324.0,311008.0,311072.0
69,288212.0,315900.0,312572.0,314596.0
70,283812.0,327092.0,322176.0,323008.0
71,286292.0,330288.0,332612.0,319272.0
72,289788.0,329468.0,320396.0,322032.0
73,286220.0,337660.0,324548.0,314516.0
74,296736.0,343076.0,326792.0,320752.0
75,301848.0,352280.0,328652.0,322332.0
76,312224.0,347180.0,323960.0,329140.0
77,317712.0,354764.0,330452.0,338212.0
78,331208.0,363440.0,329944.0,339840.0
79,327436.0,337268.0,339832.0,344584.0
80,336868.0,344180.0,345124.0,338100.0
81,340144.0,342064.0,351364.0,347660.0
82,340876.0,350952.0,361564.0,330416.0
83,339856.0,362136.0,357436.0,341044.0
84,334288.0,363208.0,360296.0,337416.0
85,336696.0,366824.0,357740.0,340648.0
86,336396.0,375200.0,366012.0,350220.0
87,343488.0,385368.0,347548.0,359124.0
88,352444.0,380556.0,360368.0,359404.0
89,351884.0,382232.0,370396.0,369192.0
90,350752.0,392428.0,381156.0,369320.0
91,349260.0,378972.0,381472.0,377956.0
92,356456.0,364936.0,393312.0,376528.0
93,358276.0,375052.0,401868.0,368184.0
94,358880.0,383524.0,405604.0,355628.0
95,351984.0,385320.0,406160.0,364480.0
96,348088.0,392476.0,416720.0,365304.0
97,348740.0,400356.0,399712.0,372908.0
98,360704.0,407444.0,407256.0,379520.0
99,365284.0,408436.0,393572.0,380796.0
100,374328.0,409084.0,400832.0,387892.0
101,379280.0,410976.0,410004.0,394732.0
102,391336.0,407176.0,410048.0,396536.0
