kbcommit,client01,client02,client03,client04
107,44514660.0,38386024.0,47710948.0,38897504.0
108,44474012.0,38386024.0,47710948.0,38903940.0
109,44442316.0,38386024.0,47710948.0,38903940.0
110,44442316.0,38386024.0,47710948.0,38903940.0
111,44442316.0,38391672.0,47710948.0,38903940.0
112,44442316.0,38391672.0,47674900.0,38903940.0
113,44442316.0,38391672.0,47674900.0,38885112.0
114,44435876.0,38402640.0,47674900.0,38885112.0
115,44458664.0,38402640.0,47681332.0,38885112.0
116,44471596.0,38394432.0,47681332.0,38885112.0
117,44471596.0,38394432.0,47681332.0,38885112.0
118,44471596.0,38394432.0,47681332.0,38877316.0
119,44471596.0,38394432.0,47673132.0,38883752.0
120,44471596.0,38394432.0,47679564.0,38883752.0
121,44467552.0,38394432.0,47679564.0,38883752.0
122,44447456.0,38394432.0,47679564.0,38883752.0
123,44434316.0,38400056.0,47679564.0,38883752.0
124,44434316.0,38400056.0,47679564.0,38883752.0
125,44434316.0,38383664.0,47679564.0,38890272.0
126,44434316.0,38375468.0,47679564.0,38890272.0
127,44434316.0,38375468.0,47679564.0,38890272.0
128,44480276.0,38375468.0,47679564.0,38883828.0
129,44432188.0,38375468.0,47685996.0,38877028.0
130,44432188.0,38375468.0,47685996.0,38877028.0
131,44432188.0,38375468.0,47692432.0,38877028.0
132,44432188.0,38375468.0,47692432.0,38877028.0
133,44432188.0,38375468.0,47692432.0,38877028.0
134,44443284.0,38369468.0,47692432.0,38877028.0
135,44414020.0,38369468.0,47685984.0,38877028.0
136,44411520.0,38369468.0,47685984.0,38883548.0
137,44411520.0,38369468.0,47685984.0,38883548.0
138,44411520.0,38369468.0,47679360.0,38883548.0
139,44411520.0,38369468.0,47685912.0,38883548.0
140,44411520.0,38369468.0,47685912.0,38883548.0
141,44467756.0,38369468.0,47685912.0,38883548.0
142,44442096.0,38375100.0,47685912.0,38883548.0
143,44442096.0,38375100.0,47685912.0,38883548.0
144,44442096.0,38374744.0,47685912.0,38883548.0
145,44442096.0,38374744.0,47685912.0,38877100.0
146,44442096.0,38374744.0,47685912.0,38877100.0
147,44442096.0,38368756.0,47685912.0,38877100.0
148,44394788.0,38368756.0,47685912.0,38877100.0
149,44428304.0,38368756.0,47685912.0,38877100.0
150,44428304.0,38368756.0,47677752.0,38883548.0
151,44428304.0,38374380.0,47677752.0,38876748.0
152,44428304.0,38374380.0,47677752.0,38876748.0
153,44428304.0,38374380.0,47677752.0,38876748.0
154,44443508.0,38374380.0,47677752.0,38862724.0
155,44539264.0,38374380.0,47684204.0,38862724.0
156,44512364.0,38374380.0,47690648.0,38862724.0
157,44512364.0,38374380.0,47690648.0,38862724.0
158,44512364.0,38368724.0,47690648.0,38854528.0
159,44512364.0,38368724.0,47667736.0,38854528.0
160,44499276.0,38374368.0,47667736.0,38854528.0
161,44484240.0,38374368.0,47667736.0,38854528.0
162,44438496.0,38368740.0,47667736.0,38854528.0
163,44438496.0,38368740.0,47674168.0,38854528.0
164,44438496.0,38368740.0,47680600.0,38854528.0
165,44438496.0,38362848.0,47680600.0,38860960.0
166,44438496.0,38356884.0,47681524.0,38860960.0
167,44438496.0,38356884.0,47681524.0,38860960.0
168,44488216.0,38356884.0,47687964.0,38883776.0
169,44477012.0,38356884.0,47687964.0,38883776.0
170,44477012.0,38356884.0,47681152.0,38890340.0
171,44477012.0,38356884.0,47681152.0,38890340.0
172,44477012.0,38362508.0,47687592.0,38890340.0
173,44477012.0,38362508.0,47687592.0,38896780.0
174,44458736.0,38362508.0,47687592.0,38889988.0
175,44518256.0,38362508.0,47694060.0,38883548.0
176,44518156.0,38368216.0,47694060.0,38883548.0
177,44518156.0,38368216.0,47694060.0,38883548.0
178,44518156.0,38368216.0,47694060.0,38883548.0
179,44518156.0,38368216.0,47694060.0,38883548.0
180,44518156.0,38368216.0,47694060.0,38883548.0
181,44526604.0,38373968.0,47694060.0,38883548.0
182,44488100.0,38373968.0,47694060.0,38883548.0
183,44488100.0,38367968.0,47694060.0,38877084.0
184,44488100.0,38367968.0,47694060.0,38876728.0
185,44488100.0,38367968.0,47694060.0,38876728.0
186,44501004.0,38373624.0,47694060.0,38876728.0
187,45031456.0,38365468.0,47694060.0,38876728.0
188,44430012.0,38365468.0,47694060.0,38876728.0
189,44480736.0,38365468.0,47694060.0,38876728.0
190,44480736.0,38365468.0,47694060.0,38876728.0
191,44480736.0,38359768.0,47694060.0,38876728.0
192,44480736.0,38359768.0,47694060.0,38876728.0
193,44480736.0,38359768.0,47687596.0,38876728.0
194,44480368.0,38365420.0,47687596.0,38876728.0
195,44490756.0,38359796.0,47694060.0,38876728.0
196,44459568.0,38355212.0,47694060.0,38876728.0
197,44459568.0,38355212.0,47694060.0,38870264.0
198,44459568.0,38349452.0,47687604.0,38863496.0
199,44459568.0,38355080.0,47680800.0,38863496.0
200,44459568.0,38355080.0,47680800.0,38863496.0
201,44472516.0,38355080.0,47687236.0,38863496.0
202,44514068.0,38355080.0,47680452.0,38863496.0
203,44514068.0,38355080.0,47680452.0,38876132.0
204,44514068.0,38360708.0,47673956.0,38876132.0
205,44514068.0,38369672.0,47673956.0,38876132.0
206,44514068.0,38369672.0,47680420.0,38876132.0
207,44519832.0,38369672.0,47680420.0,38876132.0
208,44507684.0,38369672.0,47680420.0,38876132.0
209,44510984.0,38369672.0,47680420.0,38876132.0
