await,aceph01,aceph02,aceph03,aceph04
176,480.298,469.953,584.9,454.713
177,661.671,499.423,461.974,486.214
178,606.896,456.392,443.012,485.453
179,572.463,523.1,463.633,461.498
180,581.048,547.083,419.308,454.73
181,573.427,508.595,547.487,446.864
182,494.737,567.698,467.323,433.461
183,491.569,436.145,484.566,466.997
184,453.866,628.59,496.006,559.343
185,480.298,564.927,456.018,581.391
186,478.242,458.84,403.577,403.801
187,405.237,449.08,380.803,459.374
188,419.922,519.252,410.839,444.563
189,427.563,460.163,403.85,461.319
190,436.652,450.773,430.65,480.372
191,585.798,451.994,417.318,495.714
192,487.606,465.721,398.489,418.146
193,477.662,423.432,411.153,454.079
194,434.272,462.406,392.622,415.109
195,415.309,461.886,413.935,424.685
196,497.506,447.397,426.961,477.242
197,541.054,423.914,451.784,438.878
198,571.25,468.297,426.338,459.288
199,499.457,432.204,510.792,468.358
200,505.114,442.458,499.218,481.628
201,482.611,554.313,479.701,518.54
202,478.874,446.389,474.395,464.824
203,544.88,458.06,454.461,434.555
204,475.441,474.949,457.432,443.227
205,521.051,443.074,444.463,479.399
206,478.164,405.968,466.242,519.636
207,574.7,447.395,502.002,680.327
208,501.146,441.443,426.315,521.491
209,552.785,409.281,401.316,404.154
210,488.215,420.67,386.184,480.939
211,440.982,503.71,423.687,474.142
212,462.733,430.642,415.478,429.639
213,468.263,411.123,411.823,408.906
214,425.165,458.891,439.038,432.689
215,465.047,414.717,396.939,440.211
216,443.661,429.565,443.365,393.965
217,506.556,495.465,472.704,412.297
218,475.69,407.378,443.329,431.503
219,519.674,426.641,441.822,556.965
220,483.374,423.082,452.363,451.228
221,443.773,397.869,408.24,429.131
222,443.579,513.126,401.865,428.748
223,579.546,413.958,465.422,454.322
224,521.336,444.414,395.54,471.102
225,514.434,433.58,454.134,480.764
226,527.138,483.421,425.653,492.065
227,537.405,614.352,426.124,458.538
228,427.647,452.753,473.742,474.141
229,500.427,511.648,485.394,578.107
230,476.291,468.651,590.674,670.19
231,478.268,520.092,518.267,523.778
232,403.513,553.323,493.014,486.341
233,425.908,516.798,421.646,598.554
234,424.138,491.961,440.427,552.82
235,441.345,429.932,493.064,543.759
236,457.176,468.631,581.166,536.002
237,424.382,453.256,535.1,458.226
238,435.101,402.389,554.785,489.537
239,478.612,403.271,427.626,497.084
240,429.402,412.84,459.056,555.811
241,422.552,438.736,477.233,489.35
242,449.084,433.291,557.904,483.9
243,489.291,405.144,512.363,562.295
244,425.104,489.477,528.124,464.948
245,459.841,403.885,435.064,468.683
246,434.492,432.195,483.97,411.211
247,492.022,421.869,414.986,426.362
248,520.354,417.912,542.282,454.619
249,472.015,424.851,530.615,444.551
250,482.566,442.485,503.983,502.17
251,436.699,442.534,464.503,498.551
252,444.25,435.488,466.972,463.6
253,546.971,468.911,469.159,431.733
254,438.146,412.284,507.966,504.918
255,479.021,428.32,498.921,532.368
256,491.764,483.868,544.517,444.01
257,477.895,426.532,454.216,415.361
258,418.003,483.666,468.609,429.067
259,436.569,667.7,516.526,485.966
260,427.226,519.905,583.047,564.788
261,454.802,539.171,570.294,434.17
262,409.581,570.142,590.072,640.638
263,414.244,489.626,494.575,511.426
264,430.392,457.76,490.015,530.503
265,478.511,440.169,502.485,503.584
266,425.147,477.717,547.938,536.419
267,443.825,449.093,590.405,476.437
268,456.491,457.463,673.824,507.631
269,483.315,443.118,523.688,657.798
270,420.407,454.788,473.533,499.057
271,439.785,459.888,527.799,489.009
272,470.682,450.457,558.041,481.762
273,453.124,456.265,515.616,517.754
274,470.602,530.836,530.989,480.41
275,466.177,441.935,483.879,526.151
276,468.735,414.066,427.809,473.999
277,475.386,421.596,447.379,452.599
278,531.142,494.517,507.868,527.629
279,491.732,468.397,524.559,518.523
280,526.895,541.927,552.03,579.248
281,454.871,485.755,518.898,510.352
282,523.579,575.347,460.711,511.416
283,487.072,491.541,559.579,483.11
284,450.586,495.512,470.029,667.302
285,455.972,699.253,520.57,535.735
286,466.632,577.371,533.279,548.51
287,575.096,639.032,611.755,553.077
288,532.974,509.907,579.056,503.11
289,565.01,503.152,525.598,513.099
290,458.019,512.172,552.428,498.434
291,462.799,466.858,515.644,585.008
292,458.637,550.762,497.628,498.958
293,432.675,495.771,555.115,487.963
294,452.716,486.458,571.748,461.387
295,518.55,466.697,541.983,460.003
296,468.715,388.645,604.765,556.468
297,464.459,426.861,712.619,523.487
298,446.18,493.209,656.548,550.107
299,542.91,480.443,552.148,549.477
300,526.995,621.475,520.299,531.876
