%sys,aceph01,aceph02,aceph03,aceph04
0,9.36,7.52,8.36,7.77
1,9.81,8.4,8.43,8.74
2,8.42,9.96,7.45,8.39
3,8.39,8.0,9.25,9.99
4,8.39,9.01,9.14,8.89
5,9.6,7.9,8.49,8.36
6,7.36,8.01,9.05,9.41
7,8.11,8.75,9.64,8.49
8,9.0,9.0,8.27,8.26
9,8.14,8.24,8.82,7.53
10,9.83,8.47,9.23,8.85
11,10.18,7.67,9.03,9.15
12,7.99,7.38,8.58,8.39
13,7.01,9.22,9.91,7.62
14,9.25,8.22,9.14,7.89
15,8.64,8.25,8.0,9.4
16,8.74,9.46,8.74,9.62
17,9.5,8.61,8.33,8.43
18,9.88,8.41,7.38,7.51
19,9.15,9.24,8.65,8.62
20,9.39,8.65,9.26,8.17
21,8.48,8.49,8.25,6.98
22,7.67,9.52,8.51,9.52
23,8.5,8.01,9.77,7.24
24,8.88,9.24,7.98,7.87
25,8.41,9.8,8.5,8.78
26,8.51,8.62,8.11,8.38
27,9.01,8.15,7.38,8.16
28,8.35,7.77,8.62,7.99
29,8.16,8.46,7.89,9.89
30,8.49,7.03,8.02,8.51
31,8.61,8.41,8.64,9.0
32,7.52,7.26,8.65,7.99
33,8.14,9.62,8.27,8.15
34,8.38,7.75,8.02,8.26
35,8.62,8.03,8.26,8.14
36,8.5,8.34,7.61,7.87
37,8.26,8.35,8.74,8.38
38,8.12,8.65,9.0,9.11
39,8.38,9.42,7.87,8.75
40,7.46,8.68,9.74,9.4
41,8.62,9.11,8.9,9.74
42,8.39,8.61,9.38,8.01
43,7.25,8.77,10.75,7.89
44,8.14,7.88,8.26,7.88
45,7.85,8.62,8.99,7.75
46,8.27,8.61,8.65,8.38
47,8.98,7.27,8.15,8.23
48,8.0,8.12,10.08,8.39
49,8.75,8.6,9.02,7.74
50,8.26,8.77,8.22,7.77
51,9.12,7.87,9.51,8.75
52,9.0,8.88,9.48,8.62
53,9.14,8.76,9.21,8.62
54,7.88,7.51,9.2,7.39
55,8.65,8.56,8.61,9.12
56,8.89,7.38,8.39,8.15
57,9.01,8.89,8.28,8.76
58,8.98,8.25,8.51,8.39
59,7.51,8.49,7.72,8.14
60,9.88,8.01,9.36,7.99
61,8.02,8.01,7.38,7.63
62,8.24,10.15,8.26,8.01
63,9.5,9.0,9.15,9.62
64,8.27,8.95,8.0,8.14
65,9.11,7.59,8.15,8.99
66,7.88,7.88,8.5,7.97
67,7.89,7.51,9.01,7.13
68,8.76,8.12,8.14,8.36
69,8.65,8.74,8.25,9.03
70,7.62,7.88,7.63,8.25
71,8.89,8.03,8.12,9.51
72,8.51,8.0,7.75,7.99
73,9.5,7.49,7.39,8.5
74,8.62,8.62,8.49,8.36
75,8.02,9.66,7.12,8.43
76,8.38,7.24,7.88,8.6
77,9.31,8.44,8.76,8.38
78,7.24,7.25,8.88,8.03
79,7.77,8.11,8.1,9.19
80,8.61,8.5,9.0,8.78
81,6.88,6.99,7.52,9.25
82,7.27,7.38,8.35,10.15
83,7.5,8.5,8.89,8.39
84,9.61,7.12,7.89,8.49
85,10.11,8.38,8.89,9.01
86,10.53,8.11,8.67,8.24
87,9.24,8.28,9.18,8.49
88,8.23,9.65,9.51,8.75
89,8.02,7.51,7.76,7.53
90,8.53,8.38,8.26,7.26
91,8.12,9.01,7.64,8.25
92,8.23,8.51,8.48,8.0
93,8.17,8.5,7.29,7.62
94,10.21,8.73,8.39,7.76
95,8.62,8.64,9.7,7.62
96,8.9,7.77,7.76,8.01
97,9.51,8.26,8.65,7.88
98,8.75,8.86,8.36,9.12
99,9.64,9.26,9.14,8.38
100,9.11,8.26,7.88,8.12
101,8.26,6.88,7.75,8.38
102,8.5,8.28,8.36,8.36
103,8.62,8.89,8.5,7.48
104,9.16,7.97,8.6,9.34
105,9.36,8.68,8.26,7.42
106,8.51,9.64,8.65,7.25
107,7.87,9.54,8.25,9.11
108,9.12,8.3,8.27,7.76
109,7.99,8.56,8.61,9.0
110,8.27,7.51,8.58,8.76
111,9.74,9.43,8.1,7.12
112,8.44,7.88,7.27,6.99
113,9.51,8.67,7.87,8.27
114,8.75,8.26,8.16,8.25
115,8.39,8.16,9.0,8.03
116,8.41,7.88,9.62,8.49
117,9.62,9.0,7.51,7.88
118,8.76,7.98,7.64,8.15
119,7.26,8.94,8.88,8.01
120,8.62,8.27,8.51,7.26
121,8.76,8.42,7.88,9.77
122,8.25,8.78,9.14,8.65
123,8.01,9.03,8.0,8.36
124,9.5,8.23,8.5,10.3
125,8.0,7.53,7.37,8.56
126,8.86,8.98,9.25,8.51
127,9.64,7.58,8.12,9.26
128,9.35,7.53,8.51,8.14
129,8.0,8.44,9.5,8.74
130,9.24,8.76,7.88,8.65
131,8.65,7.78,8.91,9.26
132,8.25,8.75,8.09,9.99
133,9.26,8.59,9.52,8.27
134,8.52,7.64,7.25,7.62
135,8.76,9.0,8.25,8.12
136,7.0,8.78,8.17,8.65
137,8.26,9.0,8.25,8.25
138,8.62,9.89,7.86,8.14
139,8.41,7.25,8.64,9.0
140,8.5,8.38,8.47,8.5
141,8.89,9.01,8.51,7.5
142,8.36,7.88,8.64,7.14
143,8.25,9.0,8.69,7.12
144,8.16,8.88,7.38,7.63
145,9.0,8.62,8.53,8.0
146,7.24,8.15,8.79,8.27
147,8.14,8.11,8.77,8.6
148,8.76,6.51,8.26,9.35
149,7.25,8.88,7.76,8.52
150,7.25,9.54,8.51,9.14
151,7.37,8.9,8.78,8.36
152,9.15,9.11,8.74,7.89
153,7.43,8.02,7.88,9.5
154,8.04,8.26,8.12,9.17
155,7.88,9.12,8.14,6.88
156,8.01,8.53,8.5,9.02
157,9.11,8.23,8.11,8.5
158,7.75,7.88,7.62,9.99
159,7.76,7.62,7.63,7.77
160,9.64,7.63,9.36,8.15
161,9.14,8.0,8.15,9.25
