avgqu-sz,aceph01,aceph02,aceph03,aceph04
0,0.012,0.017,0.014,0.021
1,0.015,0.017,0.012,0.031
2,0.017,0.018,0.016,0.021
3,0.02,0.019,0.018,0.02
4,0.014,0.021,0.016,0.019
5,0.016,0.024,0.013,0.019
6,0.017,0.018,0.02,0.025
7,0.024,0.019,0.01,0.029
8,0.021,0.015,0.013,0.02
9,0.021,0.015,0.019,0.017
10,0.017,0.022,0.02,0.03
11,0.019,0.019,0.012,0.028
12,0.015,0.026,0.016,0.022
13,0.02,0.021,0.019,0.014
14,0.016,0.021,0.018,0.027
15,0.023,0.021,0.024,0.013
16,0.022,0.02,0.025,0.023
17,0.019,0.015,0.019,0.015
18,0.015,0.024,0.02,0.011
19,0.018,0.019,0.017,0.012
20,0.021,0.022,0.025,0.012
21,0.023,0.016,0.017,0.018
22,0.015,0.014,0.018,0.014
23,0.017,0.017,0.011,0.018
24,0.015,0.017,0.021,0.018
25,0.021,0.019,0.024,0.015
26,0.019,0.016,0.027,0.013
27,0.021,0.017,0.016,0.021
28,0.017,0.012,0.013,0.015
29,0.017,0.017,0.021,0.018
30,0.017,0.015,0.02,0.018
31,0.012,0.015,0.013,0.015
32,0.019,0.017,0.019,0.02
33,0.024,0.017,0.019,0.015
34,0.013,0.014,0.018,0.017
35,0.015,0.033,0.014,0.014
36,0.012,0.026,0.021,0.011
37,0.023,0.016,0.024,0.016
38,0.018,0.017,0.014,0.015
39,0.019,0.016,0.018,0.013
40,0.013,0.014,0.018,0.013
41,0.017,0.019,0.014,0.021
42,0.014,0.028,0.02,0.015
43,0.014,0.022,0.022,0.015
44,0.013,0.016,0.02,0.017
45,0.013,0.01,0.021,0.02
46,0.02,0.016,0.014,0.021
47,0.013,0.018,0.014,0.035
48,0.016,0.016,0.017,0.024
49,0.022,0.031,0.015,0.027
50,0.023,0.027,0.013,0.019
51,0.032,0.016,0.014,0.014
52,0.014,0.02,0.02,0.022
53,0.018,0.016,0.024,0.022
54,0.026,0.015,0.016,0.022
55,0.019,0.016,0.012,0.033
56,0.019,0.014,0.009,0.024
57,0.023,0.012,0.018,0.029
58,0.02,0.016,0.016,0.021
59,0.017,0.019,0.021,0.019
60,0.019,0.02,0.019,0.014
61,0.025,0.017,0.022,0.015
62,0.022,0.015,0.015,0.013
63,0.018,0.012,0.022,0.018
64,0.016,0.015,0.013,0.015
65,0.015,0.019,0.013,0.012
66,0.016,0.015,0.016,0.016
67,0.02,0.017,0.021,0.014
68,0.019,0.015,0.014,0.015
69,0.014,0.016,0.012,0.017
70,0.015,0.02,0.012,0.018
71,0.016,0.014,0.018,0.012
72,0.018,0.026,0.019,0.014
73,0.015,0.016,0.016,0.013
74,0.016,0.019,0.018,0.015
75,0.017,0.013,0.025,0.016
76,0.017,0.016,0.017,0.016
77,0.019,0.017,0.014,0.016
78,0.018,0.017,0.014,0.014
79,0.016,0.02,0.015,0.014
80,0.014,0.018,0.014,0.012
81,0.012,0.015,0.016,0.018
82,0.018,0.015,0.02,0.017
83,0.012,0.016,0.02,0.016
84,0.019,0.015,0.018,0.015
85,0.015,0.014,0.019,0.018
86,0.016,0.008,0.007,0.016
87,0.018,0.013,0.012,0.015
88,0.018,0.016,0.014,0.011
89,0.01,0.017,0.02,0.017
90,0.02,0.012,0.017,0.013
91,0.018,0.029,0.014,0.012
92,0.014,0.026,0.021,0.015
93,0.012,0.026,0.016,0.02
94,0.009,0.017,0.017,0.018
95,0.021,0.025,0.02,0.013
96,0.019,0.023,0.016,0.03
97,0.018,0.024,0.014,0.023
98,0.016,0.02,0.019,0.022
99,0.017,0.016,0.016,0.028
100,0.017,0.019,0.013,0.02
101,0.018,0.012,0.017,0.017
102,0.02,0.018,0.018,0.019
103,0.017,0.018,0.014,0.011
