%usr,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,15.53,0.0,18.0,20.19,0.0,0.0,1.0,0.99,18.18,0.0,0.98,13.13,14.0,13.13,12.24,11.0,19.19,21.0,0.99,19.39,18.18,18.81,20.0,1.0,19.19,19.19,1.98,1.01,17.82,12.0,13.86,18.81,2.0,13.13,11.11,1.0,12.0,11.22,16.16,1.02,18.63,0.0,0.0,0.98,1.01,0.0,18.18,0.0,18.18,18.0,1.0,14.14,2.0,0.0,13.13,0.0,15.15,13.0,0.0,0.0,16.0,16.33,1.01,18.63,20.2,18.0,0.99,1.0,0.99,20.0,18.18,18.81,19.19,16.0,0.0,14.0,20.79,14.85,0.0,18.81,16.33,17.65,0.0,0.0,2.0,0.0,1.02,0.0,1.98,15.15,16.83,13.86,14.0,1.0,15.0,14.14,19.0,20.0,16.83,19.39,20.0,18.0,18.0,1.0,1.98,18.37,19.19,17.0,14.14,14.29,1.02,18.63,14.0,1.01,16.0,1.98,13.73,2.02,13.0,14.0,1.0,1.0,16.0,13.13,13.13,1.01,12.24,12.12,0.0,11.22,15.31,19.0,14.43,18.18,1.02,19.39,15.15,1.0,17.53,18.18
1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,1.01,1.01,0.0,1.0,0.0,0.0,1.96,1.01,1.0,1.0,0.0,1.01,1.01,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.01,0.0,0.0,0.0,2.0,0.0,0.0,0.98,0.99,1.0,0.0,0.0,1.0,0.0,1.0,1.01,0.0,0.99,1.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97,1.98,1.0,1.01,0.99,0.0,1.01,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,1.01,1.01,1.0,1.01,1.0,0.0,1.0,1.01,0.0,0.99,0.0,0.99,1.0,1.0,0.0,1.0,0.0,1.01,1.02,0.0,0.99,0.0,0.99,1.0,1.01,1.0,0.0,0.0,1.01,1.0,1.0,0.0,1.94,1.0,2.0,1.01,1.98,1.01,1.98,1.01,1.0,1.0,1.01,1.0,1.01,1.0
2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.99,0.0,1.01,0.99,0.0,0.0,0.0,0.0,1.0,0.98,0.0,0.0,0.0,0.0,1.0,0.99,0.99,1.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,1.0,0.0,0.98,0.0,0.0,1.0,0.0,0.0,0.0,0.99,1.0,0.0,0.0,1.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,1.01,0.0,0.99,1.0,1.01,1.0,0.0,0.0,1.01,0.0,0.0,0.0,1.0,0.0,0.97,0.0,0.98,0.98,1.0,0.0,1.0,1.01,1.01,1.0,0.0,1.98,0.0,0.0,1.0,0.0,1.0,1.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.01,1.02,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.99,1.0,0.0,1.98,1.0,0.0,1.01,1.0,0.0,1.01,0.0
3,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.98,1.0,0.99,1.01,0.0,0.0,0.0,0.0,1.02,0.0,0.99,0.0,1.0,0.0,0.0,0.99,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.01,0.99,1.0,1.0,0.0,0.0,1.0,1.01,0.0,0.97,0.0,0.0,1.0,0.0,0.99,0.0,0.0,0.0,1.01,1.0,0.0,1.0,0.0,0.0,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.98,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.99,0.0,1.01,0.0,0.0,0.0,0.97,1.0,1.01,0.0,1.01,0.0,0.0,1.01,0.0,1.0,0.99,0.99,0.0,0.98,1.01,1.0,0.99,1.0,1.0,0.0,0.0,0.99,0.0,1.0,0.99,0.0,0.0,0.0,0.99,1.01,1.01,1.0,1.0,0.0,0.0,1.01,1.01
4,0.0,0.0,0.99,1.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,1.0,0.99,0.0,1.01,1.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,1.0,0.0,1.0,0.0,0.99,1.01,1.0,0.0,0.0,0.0,0.0,1.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.01,1.0,0.0,1.01,0.0,0.0,1.01,0.0,1.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.99,1.0,0.99,0.0,0.99,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.01,0.0,1.0,0.0,1.98,1.0,0.0,0.0,0.99,1.0,1.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,1.98,0.0,1.01,1.0,1.01,0.0,1.01,0.99,0.99,0.0,1.0,1.0,0.0,0.99,0.0,0.0,0.0,1.98,0.0,0.0,0.0,1.01,1.01,0.0,0.0,0.99,0.0,1.0,0.0,0.97,1.0,0.0,0.99,1.0,0.0,1.01,0.0,1.0,1.0,0.99,1.01,0.99
5,0.0,16.83,0.0,0.99,14.0,22.77,21.0,21.57,0.0,16.0,18.0,0.0,1.0,1.0,0.0,0.0,0.99,1.0,24.24,0.97,0.0,0.0,1.0,21.78,0.0,0.0,20.79,20.2,0.0,0.0,1.0,0.0,14.0,1.0,1.0,13.13,1.0,0.0,1.01,23.76,1.0,18.63,15.0,21.43,20.0,25.0,0.99,20.0,2.0,0.0,19.19,0.99,12.24,16.0,1.0,14.14,1.0,0.0,14.0,14.56,0.0,0.0,18.0,0.0,0.0,0.0,23.0,21.21,21.0,0.0,0.0,0.0,0.0,0.0,17.65,0.0,0.0,0.0,15.31,0.0,0.0,0.0,15.84,17.82,18.0,15.31,15.31,14.0,14.14,0.0,0.0,0.0,0.0,13.13,1.0,0.0,0.0,0.99,0.0,1.0,0.0,1.0,1.01,19.0,16.16,0.0,0.97,0.0,0.0,0.0,15.0,0.99,0.0,12.12,0.0,15.0,0.0,15.15,0.0,0.0,16.16,15.84,0.0,0.0,0.0,11.0,1.0,0.0,11.0,0.0,0.0,1.01,1.01,0.0,17.0,1.01,1.02,16.83,0.99,1.01
6,17.82,0.99,15.15,15.0,0.0,1.0,0.0,0.0,23.76,0.0,1.0,15.15,14.14,13.0,12.24,13.0,21.0,22.77,1.0,22.77,16.0,22.0,24.0,0.0,24.0,17.0,1.0,0.99,20.2,12.12,14.0,17.82,1.0,12.0,13.13,1.0,11.11,12.0,19.39,0.0,19.8,1.01,0.98,0.99,1.0,0.0,22.22,1.01,22.0,19.19,1.0,11.0,1.0,1.0,12.24,0.99,14.0,15.15,1.0,0.0,13.86,21.0,0.0,21.21,20.2,21.21,1.0,1.0,0.99,21.0,23.23,21.43,17.0,18.18,0.0,11.0,17.17,15.0,1.0,17.0,15.31,16.83,1.01,2.0,1.01,1.0,2.02,2.0,1.01,14.0,13.13,13.86,13.0,1.0,12.24,14.14,23.23,21.0,17.0,17.35,17.0,20.0,18.18,2.0,2.0,16.33,17.17,17.17,15.0,12.0,1.02,15.31,14.29,0.0,14.0,0.0,12.0,1.0,16.0,14.0,1.0,1.01,12.0,15.15,11.0,0.0,12.12,11.88,0.0,12.0,12.0,13.4,16.33,17.0,2.0,16.16,16.83,1.01,18.18,15.84
7,1.01,14.0,0.0,0.0,14.14,21.21,19.8,22.12,1.0,20.2,17.0,0.0,1.0,1.0,1.01,1.96,0.98,1.0,19.19,1.0,0.0,0.0,1.01,21.78,0.0,1.0,21.78,19.0,1.98,0.0,1.01,0.0,13.86,0.99,0.0,14.0,1.98,1.0,0.0,23.47,0.0,18.63,14.29,21.0,19.39,22.22,1.01,20.2,0.0,1.0,21.43,2.0,13.13,14.0,0.99,17.0,1.0,0.99,15.84,13.0,0.0,0.0,21.0,1.0,0.0,1.0,22.22,21.78,19.8,0.0,0.0,0.99,1.0,0.0,14.29,0.0,0.0,1.0,18.0,3.03,1.01,1.0,18.0,16.5,17.0,17.0,17.17,16.16,16.16,1.01,1.0,0.0,0.99,16.16,0.0,2.0,0.99,1.01,1.01,1.01,2.0,1.01,1.0,18.0,19.0,1.98,1.0,1.0,1.01,1.01,13.0,0.0,0.99,14.14,2.0,15.0,2.0,17.17,0.0,0.99,11.22,14.14,1.98,1.01,0.0,16.16,0.99,0.0,12.0,0.99,0.0,1.0,1.01,1.0,19.19,0.99,1.0,17.0,1.01,0.0
8,16.0,0.0,16.0,16.16,0.99,0.0,1.0,1.01,22.0,1.0,2.0,17.65,15.84,14.0,12.87,10.2,23.47,19.8,1.01,21.0,19.19,18.63,23.23,1.01,18.81,22.0,0.0,2.02,19.39,14.14,14.0,18.18,0.0,13.0,12.12,0.0,11.0,14.14,26.0,1.0,21.0,1.0,0.0,0.0,1.0,1.0,21.0,1.0,21.78,22.22,1.0,11.0,0.0,1.01,10.2,0.99,12.87,11.22,1.0,1.0,14.85,16.83,1.0,17.0,21.0,18.81,0.99,1.0,1.0,23.23,24.0,18.81,19.0,14.14,0.0,15.0,22.0,19.19,0.0,15.31,17.0,16.83,0.0,0.0,1.0,0.0,0.99,2.0,2.0,14.0,16.49,17.0,13.13,0.0,11.11,13.0,22.22,17.82,17.35,19.19,18.0,19.8,19.19,0.98,1.0,17.82,18.0,14.85,13.0,14.29,1.0,15.0,12.24,1.01,12.0,0.99,13.86,1.0,16.16,15.0,1.02,1.0,14.14,15.15,11.88,1.01,15.84,11.88,1.0,13.27,14.14,15.15,15.15,17.35,2.0,16.0,16.0,0.0,20.0,17.82
9,1.01,0.0,0.99,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.01,0.0,0.99,1.01,1.01,1.0,0.0,0.0,1.02,0.99,1.01,0.0,0.99,1.0,0.98,0.0,1.0,0.99,1.0,1.0,0.0,1.01,1.01,1.98,1.01,1.02,0.0,0.0,0.0,0.0,0.99,0.0,1.0,1.0,1.0,1.01,2.02,0.0,0.0,0.0,1.01,0.0,0.99,1.01,1.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,1.0,0.0,0.0,0.99,0.0,0.0,0.0,1.0,0.0,0.99,0.0,0.0,0.99,0.0,0.99,0.0,1.01,0.0,0.0,1.0,0.0,0.0,0.0,0.99,0.99,1.0,0.99,0.0,1.01,1.02,1.01,0.0,0.0,0.99,0.0,0.0,1.0,0.99,1.0,1.01,0.0,1.0,1.0,0.0,1.01,1.01,1.0,1.0,1.0,1.0,1.01,0.0,2.0,1.01,0.99,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.98,1.0,2.0,1.0,1.0,1.0,1.01,2.0,1.01,1.01,0.0
