rxpck/s,aceph01,aceph02,aceph03,aceph04
144,12099.0,12683.0,11812.0,11936.0
145,11852.0,11384.0,11555.0,11535.0
146,11913.0,11244.0,11221.0,12175.0
147,11704.0,12208.0,11379.0,11590.0
148,11879.0,11823.0,11728.0,12449.0
149,12430.0,11701.0,11751.0,11475.0
150,11903.0,11572.0,11815.0,11847.0
151,12076.0,11754.0,11682.0,12213.0
152,12642.0,12563.0,12314.0,11723.0
153,12460.4,12086.0,12055.0,11664.0
154,11740.0,11554.0,11622.0,11218.8
155,11485.0,11242.0,11999.0,11744.0
156,11739.0,12164.0,11644.0,12721.0
157,12210.0,12495.0,11912.0,12349.0
158,12556.0,11961.0,12459.0,11210.0
159,11582.0,11650.0,11320.8,11169.0
160,11231.0,11519.0,11214.0,11562.0
161,12040.0,11297.0,11455.0,12189.0
162,11739.0,11984.0,12031.0,12174.0
163,11723.0,11976.0,11768.0,11847.0
164,11942.0,12115.0,12150.0,12135.0
165,11717.0,12339.0,12238.0,12384.0
166,12407.0,11735.0,11609.0,11748.0
167,12659.0,12081.0,12374.0,11789.0
168,12155.0,11660.0,11320.0,11790.0
169,11834.0,11639.0,11388.0,11842.0
170,11984.0,11805.0,12062.0,11547.0
171,11537.0,11434.0,11722.0,12170.0
172,12206.0,11641.0,11861.0,11241.0
173,12250.0,12027.0,11889.0,11341.0
174,11448.0,11256.0,11493.0,11595.0
175,12077.0,11579.0,11705.0,11699.0
176,11921.0,11712.9,12163.0,11363.0
177,11501.0,11246.0,11538.0,12609.0
178,13297.0,12650.0,12368.0,11439.0
179,12115.0,11660.0,11430.0,12160.0
180,12367.0,11684.0,11755.0,11692.0
181,12193.0,12025.0,11819.0,11836.0
182,11772.0,12490.0,11958.0,11957.0
183,12258.0,12101.0,12502.0,11227.0
184,11802.0,11646.0,11997.0,11394.0
185,11595.0,11739.0,11452.0,11836.0
186,11974.0,11335.0,11296.0,11492.0
187,11492.0,11515.0,11553.0,11577.0
188,12000.0,11837.0,11469.0,11622.0
189,11827.0,12016.0,11123.0,11110.0
190,11153.0,11158.0,11405.0,11865.0
191,12479.0,11809.0,11812.0,10714.0
192,10221.0,10701.0,10817.0,10902.0
193,11311.0,10776.0,11110.0,12314.0
194,11988.0,11578.0,11779.0,11589.0
195,12093.0,11393.0,11841.0,11284.0
196,11685.1,11306.0,11169.0,11978.0
197,11419.0,12149.0,11785.0,11043.0
198,11800.0,12276.0,11418.0,12984.0
199,12579.0,12803.0,12125.0,11436.0
200,11408.0,11325.0,11398.0,11557.0
201,11719.0,11278.0,11254.0,11799.0
202,10872.0,11327.0,11167.0,11338.0
203,11913.0,11025.0,11591.0,12694.0
204,13070.0,12523.0,12129.0,12089.0
205,11780.0,11793.0,11453.0,11398.0
206,11796.0,11654.0,11725.0,12142.0
207,11722.0,12195.0,12020.0,11693.0
208,13009.0,12267.0,12223.0,11389.0
209,11811.0,11222.0,11795.0,12244.6
210,13240.0,11668.0,12067.0,11689.0
211,11843.0,11919.0,11337.0,11924.0
212,11655.0,11050.0,11343.0,12121.0
213,12611.0,12073.0,12146.0,11593.0
214,11972.0,12237.0,11620.0,11841.0
215,11890.0,11213.0,11525.0,11637.0
216,11817.0,11922.0,11755.0,11286.0
217,11327.0,11475.0,11827.0,13147.0
218,13739.0,12556.0,12802.0,11910.0
219,12543.0,12069.0,12035.0,11954.0
220,11847.0,11801.0,12235.0,12068.0
221,12252.0,11435.0,11658.4,12239.0
222,11806.0,12148.0,11845.0,11607.0
223,12302.0,12088.0,11538.0,11802.0
224,11751.0,11683.0,11470.0,11623.0
225,12029.0,12051.0,11916.0,12125.0
226,12376.0,11548.0,11959.0,11893.0
227,11863.0,11712.0,11655.0,11681.0
228,11673.0,11630.0,11307.0,11823.0
229,12135.0,11934.0,11588.0,11862.0
230,12237.0,11335.0,11529.0,11401.0
231,11711.0,11580.0,10876.0,11764.0
232,12341.0,12073.0,12171.0,11851.0
233,11911.0,11762.0,11761.0,12302.0
234,12217.0,12198.0,11407.0,12308.0
235,11903.0,11293.0,11911.0,11809.0
236,11987.0,11838.0,11494.0,12147.0
237,11714.0,11926.0,11318.0,11397.0
238,11928.0,11187.0,11345.0,11714.0
239,12494.0,12045.0,12030.0,12170.0
240,11662.0,11468.0,11282.0,11524.0
241,11716.0,11347.0,11544.0,11741.0
242,11395.0,11045.0,11435.0,12187.0
243,12392.0,12339.0,11941.0,11467.0
244,11380.0,11596.0,11131.0,12596.0
245,12404.0,12373.0,12097.0,11481.0
246,11532.0,11274.0,11226.0,12012.0
247,11900.0,11352.0,11722.0,11329.0
248,12172.0,11777.0,11813.0,11460.0
249,12013.0,11540.0,11673.0,11874.0
250,11223.0,11410.0,11482.0,12307.0
251,12262.0,11619.0,11917.0,11389.0
252,11357.0,11528.0,11535.0,12181.0
253,12568.0,11791.0,11661.0,11917.0
254,11835.0,11706.0,11707.0,12181.0
255,12003.0,12437.0,11867.0,12621.0
256,12337.0,12091.0,11818.0,11588.0
257,11863.0,12555.0,11590.0,11776.0
258,12754.0,11575.0,11884.0,11931.0
259,12111.0,11557.0,11620.0,11770.0
260,11506.0,11237.0,11688.0,11876.0
261,11715.0,11930.0,11757.0,11398.0
262,11394.0,11121.0,11356.0,11354.0
263,12078.0,11593.0,11565.0,11509.0
264,12198.0,11952.0,11808.0,11687.0
265,11107.0,11578.0,11449.0,12042.0
266,11616.0,11766.0,11864.0,11863.0
267,11467.0,11446.5,11918.0,11830.7
268,12246.0,12002.0,12009.0,11386.0
269,11576.2,11931.0,11698.0,11513.0
270,11609.0,11105.0,11640.0,11946.0
271,11932.0,11701.0,11772.0,11881.0
272,11308.0,11468.0,11775.0,12197.0
273,12583.0,12050.0,11781.0,11198.0
274,11577.0,12175.0,11590.0,11182.0
275,11577.0,11592.0,11204.0,11802.0
276,12431.0,11934.0,12195.0,12379.0
277,11918.0,11976.0,12162.0,12007.0
278,12048.0,12293.0,11971.0,11726.0
279,11687.0,11491.0,12323.0,11888.0
280,12739.0,12350.0,11988.0,12267.0
281,11990.0,11733.0,11664.0,11634.0
282,10950.0,11434.0,11392.0,12561.0
283,12880.0,12208.0,12319.0,11719.0
284,11854.0,11713.0,11631.0,11798.0
285,12225.0,11949.0,12172.0,11369.0
286,11349.0,11388.0,10861.0,11990.0
287,11443.0,11589.0,11616.0,12064.0
288,12243.0,12093.0,12056.0,12152.0
289,12453.0,12273.0,11996.0,11826.0
290,11362.0,11563.0,11245.0,11203.0
291,11659.0,11132.0,11524.0,11755.0
292,11745.0,11513.0,11450.0,12269.0
293,12463.0,12338.0,11723.0,11431.0
294,11901.0,12014.0,11120.0,11762.0
295,11969.0,11954.0,11783.0,11558.0
296,12281.0,11999.0,11785.0,12190.0
297,11541.0,11867.0,11228.0,12691.0
298,13173.0,12287.0,12921.0,11849.0
299,12400.0,11665.0,11480.0,12131.0
300,12479.0,12046.0,11699.0,11471.0
301,11499.0,11713.0,10967.0,11313.0
302,11778.0,10723.0,10931.0,11653.0
303,11526.0,10598.0,10944.0,11725.0
304,12622.0,12054.0,11719.0,12383.0
305,12438.0,12375.0,12128.0,11247.0
306,11273.0,10740.0,10698.0,11798.0
307,11937.0,11923.0,12279.0,11015.0
308,11977.0,11893.1,11562.0,12286.0
309,12641.0,12298.0,12373.0,11558.0
310,11447.0,11715.0,11704.0,12326.0
311,13063.0,12233.0,12316.0,11119.0
312,11523.0,11478.0,11654.0,11995.0
313,12374.0,11952.0,12383.0,12658.0
314,12191.0,12335.0,11679.0,11294.0
315,12036.0,11749.0,11590.0,11837.0
316,12332.0,12168.0,11917.0,11698.0
317,11985.0,11565.0,11577.0,11149.0
318,12140.0,11404.0,11322.0,12439.0
319,12248.0,11855.0,12081.0,11922.0
320,12329.0,12019.0,11950.0,11828.0
321,12157.0,12735.0,12211.0,11819.0
322,11203.0,11496.0,11408.0,11214.0
323,11972.0,11388.0,10522.0,12444.0
324,12749.0,12219.0,11473.0,11898.0
325,12056.0,12917.0,12122.0,11595.0
326,11894.0,11600.0,11637.0,11472.0
327,11135.0,11328.0,11667.0,11860.4
328,12396.0,12051.0,12233.0,11195.0
329,11837.0,11006.0,10890.0,12111.0
330,11640.0,11879.0,11522.0,12119.0
331,11540.0,11522.0,11619.0,11488.0
332,11620.0,11107.0,11389.0,11355.0
333,11934.0,11416.0,12214.0,11962.0
334,11292.0,11615.0,11588.0,11992.0
335,12148.0,11439.0,11598.0,11741.0
336,11814.0,12623.8,11760.0,11643.0
337,11123.0,11624.0,11084.0,11309.0
338,12083.0,11627.0,11195.0,11653.0
339,11581.0,11498.0,11907.0,11726.0
340,11858.0,11376.0,11879.0,11623.0
341,12086.0,12114.0,11122.0,11676.0
342,11471.0,11385.0,11358.0,10915.0
343,12370.0,10948.0,11533.0,11001.0
344,11692.0,11098.0,10899.0,11915.0
345,11384.0,11441.0,11866.0,11483.0
346,12269.0,11630.0,11915.0,11960.0
347,11657.0,11836.0,12169.0,12306.0
