%guest,client01,client02,client03,client04
317,0.91,1.86,1.63,1.65
318,0.96,1.91,1.66,1.73
319,0.83,1.96,1.65,1.76
320,1.11,1.63,1.68,24.71
321,25.77,16.05,22.09,4.51
322,1.18,10.34,2.03,1.75
323,0.98,1.98,1.63,1.68
324,0.81,1.71,1.65,1.86
325,0.86,1.6,1.63,1.73
326,0.91,1.76,1.65,1.7
327,1.26,1.58,2.43,27.07
328,25.3,24.75,21.19,2.11
329,0.96,2.27,2.01,1.55
330,0.93,1.78,1.65,1.68
331,1.03,1.63,1.65,1.71
332,0.96,1.78,1.66,1.73
333,0.83,1.78,1.68,6.27
334,21.08,2.32,20.53,23.2
335,5.38,23.96,3.56,1.73
336,0.8,2.43,1.65,1.73
337,0.81,1.88,1.73,1.78
338,0.86,1.81,1.71,1.68
339,0.88,1.7,1.66,1.76
340,0.76,1.75,1.75,26.92
341,25.48,20.99,21.8,2.41
342,1.16,5.55,2.01,1.73
343,0.98,1.83,1.63,1.71
344,0.96,1.86,1.76,1.7
345,0.78,1.58,1.73,1.76
346,0.96,1.64,1.66,1.65
347,2.07,1.68,4.11,25.76
348,22.35,22.5,17.48,3.58
349,1.06,2.19,1.98,1.63
350,0.95,1.58,1.73,1.7
351,0.71,1.68,1.68,1.68
352,0.76,1.73,1.71,1.63
353,0.83,1.63,1.76,9.81
354,23.28,3.62,21.39,19.7
355,3.34,22.81,2.38,1.76
356,0.81,1.71,1.58,1.63
357,0.91,1.61,1.58,1.68
358,0.86,1.4,1.71,1.8
359,0.81,1.68,1.76,1.68
360,1.05,1.5,1.68,27.27
361,25.26,23.06,22.04,1.91
362,1.13,3.28,2.01,1.65
363,0.93,1.81,1.68,1.63
364,0.73,1.66,1.68,1.68
365,0.83,1.63,1.73,1.75
366,0.86,1.66,1.71,1.78
367,6.96,1.68,9.63,27.27
368,19.35,24.39,14.38,1.96
369,0.98,2.17,1.83,1.73
370,0.91,1.73,1.71,1.63
371,0.76,1.55,1.66,1.68
372,0.78,1.58,1.7,1.65
373,1.03,1.66,1.63,17.77
374,23.55,5.5,19.46,10.07
375,1.85,19.49,1.88,2.81
376,0.93,1.8,1.61,1.65
377,0.96,1.76,1.65,1.53
378,0.68,1.71,1.65,1.68
379,0.76,1.86,1.63,1.63
380,0.89,1.77,1.6,27.4
381,26.16,23.98,22.01,1.85
382,0.93,2.7,1.98,1.6
383,0.88,1.81,1.6,1.75
384,0.88,1.64,1.71,1.78
385,0.83,1.72,1.73,1.63
386,0.86,1.65,1.58,1.73
387,8.66,1.86,10.61,27.56
388,18.52,24.66,13.65,1.88
389,0.96,2.06,1.76,1.73
390,0.91,1.63,1.65,1.76
391,0.83,1.68,1.65,1.65
392,0.98,1.84,1.68,1.68
393,0.96,1.73,1.76,19.52
394,26.36,9.49,21.67,9.97
395,1.01,17.08,2.01,1.78
396,0.88,1.84,1.78,1.73
397,0.88,1.67,1.78,2.2
398,1.46,2.19,2.43,1.73
399,0.88,3.32,1.88,1.15
