op_w_in_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,35587209088,33811513344,31522115200,32172839168,37012396800,33760025600,33797156992,30288268032,32401807744,33821021312,33719566848,38212145408,33379900288,36471171072,42507226368,34606962688,34277847296,38482943104,34551705600,31635614976,33412946560,33928507776,34810305280,37935536000,37029151360,34280088576,34295612928,35872941312,32689840128,33914955904,33760930816,34847908992,33731560832,37909615360,35513311360,32703349632,33841403392,34519595264,39242938496,30741052672
1,35587671936,33811841024,31522532992,32173240576,37012835072,33760328704,33797484672,30288542464,32402131328,33821336704,33720070656,38212591872,33380412288,36471584768,42507668736,34607364096,34278281472,38483311744,34552020992,31636016384,33413491328,33929093504,34810862336,37936039808,37029642880,34280555520,34295985664,35873215744,32690163712,33915549824,33761471488,34848478336,33732109696,37910143744,35513835648,32703849344,33841735168,34520008960,39243487360,30741495040
2,35588495232,33812553728,31523368576,32174084352,37013555968,33761262592,33798217856,30289345280,32403061120,33821983872,33720865280,38213447936,33381464960,36472436736,42508479744,34608314368,34279096576,38484130944,34552791040,31636765952,33414077056,33929945472,34811554560,37936940928,37030474368,34281300992,34296825344,35873948928,32690778112,33916168320,33762413568,34849358976,33732793728,37911008000,35514675328,32704476032,33842628096,34520725760,39244408960,30742555904
3,35589252992,33813409792,31524126336,32174772480,37013908224,33762069504,33798840448,30289992448,32403720576,33822598272,33721528832,38214488320,33382423424,36473288704,42509307136,34609219584,34279846144,38484864128,34553659392,31637638400,33414670976,33930686848,34812361472,37937743744,37031240320,34282091520,34297599488,35874743552,32691400704,33917044864,33763208192,34849936512,33733789056,37911622400,35515572352,32705409920,33843430912,34521446656,39244941440,30743215360
4,35590129536,33814335488,31524990592,32175653120,37015067392,33763085312,33799745664,30290803456,32404547968,33823446144,33722388992,38215274752,33383500672,36474251264,42510163200,34609952768,34280825088,38485703808,34554470400,31638596864,33415428736,33931649408,34813229824,37938820992,37032202880,34282898432,34298668544,35875517696,32692133888,33918134400,33764170752,34850907264,33734686080,37912494848,35516407936,32706253696,33844090368,34522106112,39245715584,30744038656
5,35591190400,33815076864,31525899904,32176521472,37015878400,33763867648,33800421504,30291794688,32405178752,33824167040,33723253248,38216110336,33384483712,36475115520,42511031552,34610792448,34281734400,38486572160,34555584512,31639366912,33416051328,33932333440,34813893376,37939574656,37033034368,34283648000,34299549184,35876209920,32692817920,33918814336,33764981760,34851640448,33735415168,37913301760,35517214848,32706884480,33844880896,34522814720,39246518400,30744845568
6,35591980928,33815822336,31526538880,32177246464,37016722176,33764596736,33801171072,30292294400,32405813632,33824867456,33724105216,38216876288,33385491328,36476147712,42511932672,34612086784,34282537216,38487235712,34556518400,31640317184,33416678016,33933214080,34814647040,37940365184,37033759360,34284364800,34300347904,35876988160,32693501952,33919645824,33765809152,34852377728,33736267136,37914174208,35518021760,32707814272,33845675520,34523683072,39247411328,30745890048
7,35592750976,33816506368,31527169664,32177975552,37017574144,33765243904,33801560192,30292867840,32406411648,33825531008,33724895744,38217773312,33386212224,36477126656,42512887040,34612840448,34283622656,38488177792,34557018112,31641279744,33417476736,33934131584,34815507200,37941245824,37034652288,34285261824,34301306368,35877844224,32694116352,33920485504,33766685696,34853115008,33736996224,37915099904,35518849152,32708440960,33846470144,34524276992,39248230528,30746537216
8,35593566080,33817362432,31528210048,32178802944,37018524416,33765915648,33802465408,30293510912,32407230848,33826489472,33725633024,38218748160,33387395968,36478162944,42513984768,34613819392,34284572928,38489128064,34558144512,31642221824,33418123904,33935024512,34816293632,37942101888,37035692672,34286019584,34302117376,35878655232,32694841344,33921431680,33767529472,34853954688,33737786752,37916025600,35519656064,32709247872,33847358976,34525042944,39249115264,30747360512
9,35594401664,33818177536,31528763008,32179568896,37019052800,33766800384,33803104384,30294248192,32407996800,33827112064,33726222848,38219333888,33387895680,36478785536,42514517248,34614523904,34285400320,38489595008,34558726144,31642832128,33418738304,33935892864,34817186560,37942945664,37036577408,34286789632,34302912000,35879322880,32695541760,33922193536,33768442880,34854810752,33738536320,37916644096,35520479360,32710173568,33848067584,34525702400,39249815680,30748445952
