txkB/s,aceph01,aceph02,aceph03,aceph04
0,11992.4,11597.3,12579.0,9433.8
1,8890.04,9939.95,10548.1,9789.67
2,9411.19,10110.2,10896.1,9827.18
3,9190.6,11096.1,9899.81,9538.84
4,9636.99,9567.49,9496.01,9939.79
5,9091.33,9848.06,9590.54,9017.09
6,9220.71,9499.51,9765.41,8849.79
7,8882.61,9727.83,9399.38,9375.19
8,9358.32,11207.6,9516.61,8960.43
9,8753.09,9950.68,9472.77,9622.87
10,8487.43,9299.68,9089.49,9683.51
11,8740.48,9495.51,9388.88,8864.82
12,9308.42,9353.88,9368.98,9814.9
13,8665.96,10385.1,9527.61,9710.04
14,9122.15,10025.0,9202.63,10053.6
15,8782.06,9432.62,9362.48,10021.5
16,8704.68,9327.59,9330.08,9276.89
17,9267.21,9838.92,9355.82,9623.65
18,8884.26,10105.5,9554.35,9946.4
19,9078.18,9583.77,9170.42,9510.96
20,9381.98,9629.58,9219.08,9879.65
21,8662.13,9712.04,9628.46,9434.81
22,9335.83,9526.78,9120.69,9027.4
23,8991.7,10691.0,10127.9,9581.01
24,9263.13,9815.03,9704.91,10095.1
25,8985.95,9530.14,9067.46,9328.21
26,8730.83,9798.02,9435.28,9349.25
27,8906.37,9631.78,9876.76,9232.49
28,8820.78,10136.7,9093.01,9231.04
29,8989.86,9897.27,9879.06,9798.37
30,9011.29,9348.77,9634.63,9631.31
31,9149.76,9261.96,9597.97,9169.78
32,9013.2,10106.2,9549.87,9355.83
33,8765.83,10071.2,9860.98,9227.58
34,8952.14,9431.48,9000.51,9914.53
35,8790.34,9699.11,9497.11,9580.7
36,8597.52,9034.75,9423.9,9021.78
37,9086.92,9532.78,8936.41,9267.16
38,8651.84,10390.7,9346.04,9356.0
39,8374.37,9190.51,9556.97,9451.15
40,9027.41,8713.5,8949.34,10048.9
41,8710.15,9200.2,9595.36,8911.08
42,9127.44,9108.95,9160.59,9354.09
43,8854.75,9806.74,9232.58,9418.5
44,8944.37,10054.7,9578.03,8788.3
45,9314.85,9036.56,9119.63,9499.64
46,8727.38,9523.05,9498.39,8713.55
47,8900.34,9590.1,9651.92,9129.86
48,8944.83,9572.32,9077.02,9310.27
49,8190.98,9523.4,9069.09,9217.01
50,8524.75,8954.28,9372.52,9718.38
51,8857.48,9204.72,9366.58,9209.08
52,8542.48,9371.47,8634.97,9323.51
53,9263.79,10026.3,9551.82,9349.81
54,8489.66,9333.72,9487.43,9141.14
55,9093.84,9073.61,9243.88,9310.69
56,8847.85,9585.74,9900.61,9040.73
57,8347.05,9363.11,9190.66,9626.04
58,8923.14,9578.03,9058.71,9520.42
59,8841.99,9993.56,9661.81,10069.6
60,8296.2,9350.51,8823.18,9517.57
61,9130.73,9098.64,9448.09,9544.68
62,8490.4,9775.45,9521.07,8994.36
63,8692.19,10182.7,9024.29,9267.27
64,9167.0,9287.93,9476.23,9868.69
65,8465.08,9626.69,8997.66,9347.55
66,9102.25,9277.64,9636.72,9527.56
67,9137.81,9483.02,9538.91,9472.61
68,8856.09,10059.4,9289.97,9037.72
69,9016.79,9405.3,9556.21,10081.1
70,8505.88,9563.28,9751.01,9520.9
71,8952.9,9411.49,9237.0,9034.42
72,8999.66,9034.68,9319.73,9649.35
73,8379.1,10369.3,9587.01,9348.97
74,8585.94,9541.98,8994.56,9538.01
75,8556.32,9490.04,9223.37,9691.86
76,8304.54,9570.33,9322.61,9264.88
77,8732.58,8971.1,9063.63,9179.54
78,8690.46,10333.5,9368.95,9494.34
79,8752.83,9536.6,9404.59,9102.36
80,9030.89,9148.76,9151.76,9417.3
81,8384.61,9400.79,9799.7,8927.67
82,9050.38,8954.1,9553.33,8902.59
83,8852.44,10086.4,8782.05,9189.15
84,8667.48,10149.2,9606.02,9309.22
85,8861.49,9028.19,8810.53,9059.22
86,8370.5,9620.73,9223.26,9468.1
87,9062.48,9608.66,8970.37,9320.32
88,9168.46,9768.03,9234.27,9461.09
89,8182.6,9565.65,9145.29,9964.33
90,9302.3,9592.13,9451.54,9318.52
91,8548.53,8865.71,9434.68,9461.36
92,8864.63,9102.01,9617.38,9266.67
93,8898.78,9875.62,9614.65,8820.67
94,8723.01,9311.99,8931.6,9397.45
95,8309.47,9520.44,8948.69,9474.76
96,8731.51,8779.7,9719.95,8521.96
97,8286.6,9451.63,8547.1,9264.1
98,8224.64,9667.52,8902.09,8840.29
99,8972.12,9409.23,9199.6,9507.74
100,8669.16,9043.63,8611.34,9027.46
101,9121.73,9308.57,9568.1,8705.8
102,8820.37,8715.2,9577.51,9198.5
103,8732.87,9753.98,9089.48,9465.11
104,8943.35,9716.13,9632.79,9245.51
105,8605.19,8798.3,9313.42,9624.67
106,8791.49,8975.89,9324.54,9217.53
107,9025.27,9662.88,9139.09,8946.54
108,8579.82,10143.6,8996.29,9683.71
109,8873.46,9556.14,9532.41,9353.72
110,8771.41,9630.98,9183.73,9236.09
111,9000.8,9157.35,9082.2,9239.4
112,9034.25,8643.58,9698.6,9477.66
113,8555.54,10221.0,8895.55,8769.83
114,8543.99,9060.04,9662.74,10273.1
115,9045.77,9515.83,9311.63,9611.98
116,8647.07,9056.99,9156.86,9043.37
117,8615.89,8818.59,9314.25,9579.48
118,9157.64,9970.93,9750.66,9053.6
