op_in_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,41422630572,35518005687,42021839578,33850455743,43214967742,39190403554,40948024875,37794564817,37808776325,43887072547,40574303993,53087986650,41976397605,37889259107,57106465498,46369899481,38779653065,43116769450,37901799385,37177020505,47280228766,38464231592,44212376677,46605511496,46782560945,41433553605,43495863381,38257210762,42266387819,38704578081,39383913860,47252141949,46185971828,41645985440,39529280664,38904798612,36032958745,36665740258,52141890654,34084298359
1,41423093420,35518333367,42022257370,33850857151,43215406014,39190706658,40948352555,37794839249,37809099909,43887387939,40574807801,53088433114,41976909605,37889672803,57106907866,46370300889,38780087241,43117138090,37902114777,37177421913,47280773534,38464817320,44212933733,46606015304,46783052465,41434020549,43496236117,38257485194,42266711403,38705172001,39384454532,47252711293,46186520692,41646513824,39529804952,38905298324,36033290521,36666153954,52142439518,34084740727
2,41423916716,35519046071,42023092954,33851700927,43216126910,39191640546,40949085739,37795642065,37810029701,43888035107,40575602425,53089289178,41977962277,37890524771,57107718874,46371251161,38780902345,43117957290,37902884825,37178171481,47281359262,38465669288,44213625957,46606916424,46783883953,41434766021,43497075797,38258218378,42267325803,38705790497,39385396612,47253591933,46187204724,41647378080,39530644632,38905925012,36034183449,36666870754,52143361118,34085801591
3,41424674476,35519902135,42023850714,33852389055,43216479166,39192447458,40949708331,37796289233,37810689157,43888649507,40576265977,53090329562,41978920741,37891376739,57108546266,46372156377,38781651913,43118690474,37903753177,37179043929,47281953182,38466410664,44214432869,46607719240,46784649905,41435556549,43497849941,38259013002,42267948395,38706667041,39386191236,47254169469,46188200052,41647992480,39531541656,38906858900,36034986265,36667591650,52143893598,34086461047
4,41425551020,35520827831,42024714970,33853269695,43217638334,39193463266,40950613547,37797100241,37811516549,43889497379,40577126137,53091115994,41979997989,37892339299,57109402330,46372889561,38782630857,43119530154,37904564185,37180002393,47282710942,38467373224,44215301221,46608796488,46785612465,41436363461,43498918997,38259787146,42268681579,38707756577,39387153796,47255140221,46189097076,41648864928,39532377240,38907702676,36035645721,36668251106,52144667742,34087284343
5,41426611884,35521569207,42025624282,33854138047,43218449342,39194245602,40951289387,37798091473,37812147333,43890218275,40577990393,53091951578,41980981029,37893203555,57110270682,46373729241,38783540169,43120398506,37905678297,37180772441,47283333534,38468057256,44215964773,46609550152,46786443953,41437113029,43499799637,38260479370,42269365611,38708436513,39387964804,47255873405,46189826164,41649671840,39533184152,38908333460,36036436249,36668959714,52145470558,34088091255
6,41427402412,35522314679,42026263258,33854863039,43219293118,39194974690,40952038955,37798591185,37812782213,43890918691,40578842361,53092717530,41981988645,37894235747,57111171802,46375023577,38784342985,43121062058,37906612185,37181722713,47283960222,38468937896,44216718437,46610340680,46787168945,41437829829,43500598357,38261257610,42270049643,38709268001,39388792196,47256610685,46190678132,41650544288,39533991064,38909263252,36037230873,36669828066,52146363486,34089135735
7,41428172460,35522998711,42026894042,33855592127,43220145086,39195621858,40952428075,37799164625,37813380229,43891582243,40579632889,53093614554,41982709541,37895214691,57112126170,46375777241,38785428425,43122004138,37907111897,37182685273,47284758942,38469855400,44217578597,46611221320,46788061873,41438726853,43501556821,38262113674,42270664043,38710107681,39389668740,47257347965,46191407220,41651469984,39534818456,38909889940,36038025497,36670421986,52147182686,34089782903
8,41428987564,35523854775,42027934426,33856419519,43221095358,39196293602,40953333291,37799807697,37814199429,43892540707,40580370169,53094589402,41983893285,37896250979,57113223898,46376756185,38786378697,43122954410,37908238297,37183627353,47285406110,38470748328,44218365029,46612077384,46789102257,41439484613,43502367829,38262924682,42271389035,38711053857,39390512516,47258187645,46192197748,41652395680,39535625368,38910696852,36038914329,36671187938,52148067422,34090606199
9,41429823148,35524669879,42028487386,33857185471,43221623742,39197178338,40953972267,37800544977,37814965381,43893163299,40580959993,53095175130,41984392997,37896873571,57113756378,46377460697,38787206089,43123421354,37908819929,37184237657,47286020510,38471616680,44219257957,46612921160,46789986993,41440254661,43503162453,38263592330,42272089451,38711815713,39391425924,47259043709,46192947316,41653014176,39536448664,38911622548,36039622937,36671847394,52148767838,34091691639
