kbcached,client01,client02,client03,client04
0,707464.0,1104080.0,1256996.0,1462816.0
1,707688.0,1104288.0,1257176.0,1462832.0
2,707852.0,1104360.0,1257308.0,1462952.0
3,708016.0,1104520.0,1257452.0,1463148.0
4,708184.0,1104628.0,1257508.0,1463280.0
5,708280.0,1104772.0,1257648.0,1463404.0
6,708508.0,1104944.0,1257776.0,1463540.0
7,708676.0,1105112.0,1257856.0,1463636.0
8,708820.0,1105140.0,1257988.0,1463808.0
9,708908.0,1105308.0,1258112.0,1463940.0
10,709184.0,1105384.0,1258252.0,1464068.0
11,709332.0,1105520.0,1258380.0,1464196.0
12,709460.0,1105724.0,1258512.0,1464328.0
13,709652.0,1105816.0,1258644.0,1464460.0
14,709844.0,1105960.0,1258832.0,1464592.0
15,709956.0,1106132.0,1258964.0,1464720.0
16,710128.0,1106336.0,1259040.0,1464852.0
17,710228.0,1106480.0,1259176.0,1464984.0
18,710460.0,1106556.0,1259364.0,1465116.0
19,710552.0,1106688.0,1259496.0,1465220.0
20,710732.0,1106776.0,1259600.0,1465352.0
21,710848.0,1107016.0,1259756.0,1465552.0
22,711004.0,1107124.0,1259884.0,1465688.0
23,711208.0,1107292.0,1260020.0,1465816.0
24,711304.0,1107256.0,1260152.0,1465948.0
25,711560.0,1107412.0,1260284.0,1466036.0
26,711692.0,1107544.0,1260412.0,1466136.0
27,711884.0,1107724.0,1260548.0,1466276.0
28,711996.0,1107848.0,1260680.0,1466408.0
29,712196.0,1108036.0,1260796.0,1466532.0
30,712356.0,1108116.0,1260868.0,1466664.0
31,712532.0,1108256.0,1261000.0,1466796.0
32,712668.0,1108448.0,1261136.0,1466928.0
33,712852.0,1108596.0,1261264.0,1467060.0
34,712988.0,1108600.0,1261348.0,1467188.0
35,713148.0,1108760.0,1261472.0,1467320.0
36,713320.0,1108924.0,1261616.0,1467452.0
37,713512.0,1109008.0,1261748.0,1467584.0
38,713660.0,1109148.0,1261880.0,1467712.0
39,713768.0,1109180.0,1262024.0,1467840.0
40,713892.0,1109552.0,1262136.0,1467972.0
41,714064.0,1109620.0,1262268.0,1468096.0
42,714208.0,1109688.0,1262452.0,1468284.0
43,714380.0,1109856.0,1262532.0,1468416.0
44,714568.0,1110080.0,1262712.0,1468544.0
45,714700.0,1110232.0,1262844.0,1468676.0
46,714924.0,1110364.0,1262980.0,1468768.0
47,715028.0,1110456.0,1263108.0,1468932.0
48,715204.0,1110596.0,1263168.0,1469012.0
49,715368.0,1110648.0,1263300.0,1469160.0
50,715548.0,1110844.0,1263436.0,1469260.0
51,715752.0,1110940.0,1263640.0,1469480.0
52,715876.0,1111080.0,1263712.0,1469540.0
53,716040.0,1111260.0,1263768.0,1469668.0
54,716200.0,1111372.0,1263960.0,1469800.0
55,716352.0,1111480.0,1264040.0,1469904.0
56,716472.0,1111564.0,1264224.0,1470008.0
57,716648.0,1111752.0,1264356.0,1470196.0
58,716776.0,1111900.0,1264360.0,1470324.0
59,717040.0,1112004.0,1264616.0,1470456.0
60,717228.0,1112228.0,1264752.0,1470588.0
61,717240.0,1112224.0,1264828.0,1470664.0
62,717408.0,1112500.0,1265012.0,1470796.0
63,717640.0,1112564.0,1265088.0,1470924.0
64,717740.0,1112684.0,1265220.0,1471056.0
65,717892.0,1112732.0,1265356.0,1471188.0
66,718116.0,1112988.0,1265536.0,1471316.0
67,718288.0,1113112.0,1265676.0,1471440.0
68,718412.0,1113196.0,1265804.0,1471568.0
69,718564.0,1113320.0,1265936.0,1471708.0
70,718776.0,1113524.0,1266068.0,1471844.0
71,718952.0,1113604.0,1266132.0,1471972.0
72,719104.0,1113808.0,1266280.0,1472104.0
73,719220.0,1113880.0,1266388.0,1472176.0
74,719384.0,1114024.0,1266596.0,1472420.0
75,719548.0,1114276.0,1266664.0,1472552.0
76,719728.0,1114360.0,1266732.0,1472612.0
77,719892.0,1114420.0,1266884.0,1472744.0
78,720108.0,1114552.0,1267008.0,1472876.0
79,720184.0,1114636.0,1267140.0,1473008.0
80,720288.0,1114832.0,1267272.0,1473140.0
81,720540.0,1114976.0,1267440.0,1473264.0
